Id,SoilPh,RelativeHumidity,SoilTemperature,Crop
276,6.8,77,28,Corn
277,6.6,72,25,Corn
278,7.4,77,33,Corn
279,6.3,77,33,Corn
280,7.1,84,31,Corn
281,6.7,74,32,Corn
282,6,79,32,Corn
283,5.5,83,29,Corn
284,6.2,89,30,Corn
285,6.3,85,29,Corn
286,6.2,83,30,Corn
287,7.2,80,25,Corn
288,6.2,84,29,Corn
289,6.8,71,25,Corn
290,5.9,72,25,Corn
291,7.5,77,30,Corn
292,6,88,31,Corn
293,6.3,77,28,Corn
294,5.6,88,32,Corn
295,5.5,75,26,Corn
296,6.5,88,27,Corn
297,6.8,89,25,Corn
298,6.2,82,29,Corn
299,6.7,87,30,Corn
300,6.6,81,27,Corn
301,6,72,27,Corn
302,5.7,78,28,Corn
303,6.5,74,30,Corn
304,6.5,80,27,Corn
305,5.9,83,29,Corn
306,7.4,77,27,Corn
307,5.9,89,28,Corn
308,6.6,75,27,Corn
309,7.5,88,27,Corn
310,7.2,82,28,Corn
311,6.7,88,28,Corn
312,6.3,71,31,Corn
313,7.3,74,31,Corn
314,6.6,86,33,Corn
315,6.9,77,28,Corn
316,7.3,84,30,Corn
317,6.7,71,29,Corn
318,6,89,31,Corn
319,7.2,71,28,Corn
320,6.5,72,26,Corn
321,6.5,84,32,Corn
322,6.2,81,29,Corn
323,7.1,70,33,Corn
324,7.2,88,30,Corn
325,6.2,90,27,Corn
326,7.2,79,29,Corn
327,6.5,84,30,Corn
328,5.8,76,31,Corn
329,5.8,80,33,Corn
330,5.9,74,26,Corn
331,6.9,73,26,Corn
332,6.4,70,29,Corn
333,7.4,84,31,Corn
334,6.3,89,26,Corn
335,5.7,79,28,Corn
336,6.4,71,32,Corn
337,5.5,85,30,Corn
338,5.9,77,29,Corn
339,6.7,84,27,Corn
340,5.7,79,26,Corn
341,7.1,86,26,Corn
342,7.2,85,32,Corn
343,7.3,79,31,Corn
344,5.9,75,33,Corn
345,6.4,80,25,Corn
346,6.1,80,31,Corn
347,7.3,89,28,Corn
348,7,77,27,Corn
349,5.9,87,26,Corn
350,5.6,85,30,Corn
351,6.3,78,32,Corn
352,5.8,81,32,Corn
353,6.4,81,27,Corn
354,7.3,77,28,Corn
355,7,80,30,Corn
356,6.6,76,26,Corn
357,5.5,71,31,Corn
358,5.8,70,26,Corn
359,5.5,84,33,Corn
360,5.8,70,33,Corn
361,6.1,79,33,Corn
362,6.1,87,31,Corn
363,7.4,76,31,Corn
364,5.9,70,31,Corn
365,7.3,90,32,Corn
366,5.9,83,27,Corn
367,6.5,87,31,Corn
368,6,81,28,Corn
369,5.9,70,28,Corn
370,6.6,72,31,Corn
371,6.5,76,32,Corn
372,5.7,72,30,Corn
373,5.9,84,25,Corn
374,5.5,71,25,Corn
375,5.6,84,32,Corn
376,6.7,73,25,Corn
377,7.3,87,27,Corn
378,6.9,80,28,Corn
379,6.3,71,27,Corn
380,6.1,75,26,Corn
381,6.1,83,30,Corn
382,7.4,71,32,Corn
383,6.8,87,25,Corn
384,6.3,72,25,Corn
385,5.8,70,27,Corn
386,6.7,78,26,Corn
387,6.5,87,30,Corn
388,6.1,81,27,Corn
389,7.1,74,32,Corn
390,5.9,75,29,Corn
391,5.8,88,27,Corn
392,5.7,82,28,Corn
393,7,84,32,Corn
394,6.2,77,25,Corn
395,5.6,70,33,Corn
396,6.3,73,30,Corn
397,6.9,75,27,Corn
398,7.4,74,28,Corn
399,5.7,71,30,Corn
400,5.6,73,33,Corn
401,5.7,86,26,Corn
402,6.9,84,29,Corn
403,5.9,72,27,Corn
404,6.6,74,27,Corn
405,6.7,90,31,Corn
406,6.6,80,25,Corn
407,6.7,78,28,Corn
408,6.6,90,33,Corn
409,6.5,70,33,Corn
410,7.3,73,29,Corn
411,7.2,76,26,Corn
412,6.4,85,32,Corn
413,6,79,31,Corn
414,6.5,78,30,Corn
415,7.3,82,30,Corn
416,7.5,78,31,Corn
417,6.8,81,28,Corn
418,6.3,87,26,Corn
419,6,83,31,Corn
420,5.8,89,29,Corn
421,5.8,86,32,Corn
422,5.7,79,29,Corn
423,5.8,90,27,Corn
424,6.6,87,29,Corn
425,6.6,86,30,Corn
426,6.1,73,31,Corn
427,6.1,72,28,Corn
428,6,72,29,Corn
429,6.8,73,32,Corn
430,6.2,78,29,Corn
431,6.9,84,26,Corn
432,6.1,81,25,Corn
433,7.1,78,30,Corn
434,6.3,87,26,Corn
435,6.4,76,28,Corn
436,7.4,89,25,Corn
437,5.8,88,33,Corn
438,5.6,76,27,Corn
439,7,85,30,Corn
440,7,78,30,Corn
441,6.7,83,27,Corn
442,6.7,75,32,Corn
443,6.7,77,27,Corn
444,6.8,74,31,Corn
445,5.6,84,30,Corn
446,6.1,87,25,Corn
447,5.8,76,29,Corn
448,5.7,77,27,Corn
449,6.8,77,29,Corn
450,7.2,72,28,Corn
451,6.7,83,29,Corn
452,7,86,29,Corn
453,7.2,72,26,Corn
454,6.1,83,27,Corn
455,6.1,77,28,Corn
456,7.3,87,30,Corn
457,7.2,81,30,Corn
458,5.9,83,33,Corn
459,6.7,81,25,Corn
460,6.3,85,30,Corn
461,7.1,76,30,Corn
462,6,89,26,Corn
463,7.1,81,28,Corn
464,6.8,90,28,Corn
465,5.9,72,27,Corn
466,5.7,79,28,Corn
467,5.7,83,31,Corn
468,7.1,78,30,Corn
469,5.9,71,30,Corn
470,6.4,80,33,Corn
471,6.3,89,28,Corn
472,6.7,84,30,Corn
473,6.3,77,31,Corn
474,6.8,89,30,Corn
475,6.1,82,33,Corn
476,6.7,87,33,Corn
477,6.7,74,32,Corn
478,6.4,78,33,Corn
479,5.9,74,33,Corn
480,6.2,89,29,Corn
481,6.2,85,26,Corn
482,6.6,71,30,Corn
483,6.2,87,29,Corn
484,7.3,86,30,Corn
485,6.5,80,30,Corn
486,5.5,79,28,Corn
487,5.5,87,26,Corn
488,6.9,80,30,Corn
489,6.3,72,28,Corn
490,7.4,87,27,Corn
491,6.3,71,29,Corn
492,7.5,76,26,Corn
493,6.1,86,26,Corn
494,5.8,80,25,Corn
495,6.3,75,28,Corn
496,7.4,82,28,Corn
497,5.8,89,30,Corn
498,6.3,90,29,Corn
499,6.3,73,29,Corn
500,6.1,87,31,Corn
501,5.8,80,20,Peanut
502,5.3,80,24,Peanut
503,6.8,80,28,Peanut
504,6.9,80,21,Peanut
505,7.3,80,24,Peanut
506,6.1,80,24,Peanut
507,6.4,80,19,Peanut
508,7.1,80,18,Peanut
509,5.3,80,19,Peanut
510,6.3,80,19,Peanut
511,5.4,80,26,Peanut
512,6.4,80,20,Peanut
513,5.2,80,28,Peanut
514,5,80,25,Peanut
515,6.7,80,19,Peanut
516,5.5,80,21,Peanut
517,6.1,80,22,Peanut
518,7.1,80,26,Peanut
519,7.5,80,26,Peanut
520,6.5,80,18,Peanut
521,5.8,80,23,Peanut
522,7.1,80,24,Peanut
523,6.9,80,22,Peanut
524,5.8,80,29,Peanut
525,5.5,80,29,Peanut
526,6.4,80,18,Peanut
527,7.1,80,18,Peanut
528,5.9,80,23,Peanut
529,5.8,80,18,Peanut
530,6.6,80,18,Peanut
531,7.1,80,24,Peanut
532,7.4,80,20,Peanut
533,6.4,80,26,Peanut
534,5.1,80,21,Peanut
535,6.4,80,28,Peanut
536,7.2,80,27,Peanut
537,6.7,80,18,Peanut
538,7.2,80,17,Peanut
539,6.4,80,18,Peanut
540,7.3,80,18,Peanut
541,5.6,80,25,Peanut
542,6.1,80,22,Peanut
543,5,80,27,Peanut
544,6.8,80,25,Peanut
545,6.1,80,24,Peanut
546,5.6,80,26,Peanut
547,5.8,80,25,Peanut
548,6.5,80,18,Peanut
549,5.7,80,18,Peanut
550,5.9,80,28,Peanut
551,5.1,80,20,Peanut
552,7.1,80,18,Peanut
553,7.4,80,29,Peanut
554,6,80,26,Peanut
555,6.1,80,18,Peanut
556,5.8,80,21,Peanut
557,7.2,80,20,Peanut
558,6,80,20,Peanut
559,5.6,80,28,Peanut
560,6.5,80,28,Peanut
561,5.7,80,28,Peanut
562,5.4,80,26,Peanut
563,6.6,80,19,Peanut
564,6.9,80,23,Peanut
565,7.2,80,23,Peanut
566,5.2,80,26,Peanut
567,6.8,80,28,Peanut
568,5.9,80,28,Peanut
569,5.9,80,29,Peanut
570,6.2,80,25,Peanut
571,6.9,80,28,Peanut
572,6.6,80,28,Peanut
573,6.7,80,28,Peanut
574,5.4,80,21,Peanut
575,6.7,80,26,Peanut
576,5.1,80,22,Peanut
577,6.7,80,18,Peanut
578,7,80,20,Peanut
579,6.9,80,26,Peanut
580,5.3,80,24,Peanut
581,6.5,80,23,Peanut
582,7.2,80,27,Peanut
583,6.6,80,24,Peanut
584,7.2,80,27,Peanut
585,6.8,80,27,Peanut
586,7.3,80,23,Peanut
587,6.9,80,19,Peanut
588,7.4,80,18,Peanut
589,6.9,80,27,Peanut
590,7,80,19,Peanut
591,5.9,80,27,Peanut
592,5.6,80,21,Peanut
593,5.1,80,17,Peanut
594,7.1,80,28,Peanut
595,5.1,80,25,Peanut
596,5.1,80,27,Peanut
597,7,80,19,Peanut
598,5.7,80,29,Peanut
599,7.1,80,27,Peanut
600,6.3,80,20,Peanut
601,6.5,80,21,Peanut
602,5.8,80,24,Peanut
603,5.2,80,25,Peanut
604,6.7,80,22,Peanut
605,6.9,80,23,Peanut
606,5.2,80,22,Peanut
607,6.4,80,27,Peanut
608,6.2,80,28,Peanut
609,5.6,80,26,Peanut
610,6.4,80,26,Peanut
611,7.5,80,26,Peanut
612,5.9,80,25,Peanut
613,7.5,80,24,Peanut
614,5.2,80,27,Peanut
615,6.6,80,17,Peanut
616,7.1,80,27,Peanut
617,6.3,80,21,Peanut
618,7,80,19,Peanut
619,7.4,80,27,Peanut
620,6,80,20,Peanut
621,5.6,80,24,Peanut
622,6.9,80,26,Peanut
623,5.3,80,27,Peanut
624,6.5,80,23,Peanut
625,5.7,80,19,Peanut
626,6.1,80,25,Peanut
627,6.7,80,19,Peanut
628,7.3,80,21,Peanut
629,5.9,80,17,Peanut
630,6.6,80,20,Peanut
631,6.9,80,26,Peanut
632,6,80,18,Peanut
633,6.6,80,22,Peanut
634,5.5,80,26,Peanut
635,6.1,80,27,Peanut
636,5.3,80,28,Peanut
637,6.4,80,29,Peanut
638,5.1,80,20,Peanut
639,6.2,80,22,Peanut
640,6.3,80,22,Peanut
641,5.8,80,24,Peanut
642,6,80,23,Peanut
643,5.3,80,21,Peanut
644,7.2,80,20,Peanut
645,5,80,23,Peanut
646,5.7,80,26,Peanut
647,5.5,80,24,Peanut
648,6.3,80,18,Peanut
649,5.4,80,28,Peanut
650,7.1,80,17,Peanut
651,6.4,80,20,Peanut
652,5,80,29,Peanut
653,7,80,18,Peanut
654,7.3,80,26,Peanut
655,6.7,80,24,Peanut
656,6.6,80,28,Peanut
657,6.4,80,22,Peanut
658,5,80,18,Peanut
659,6.1,80,29,Peanut
660,5.7,80,27,Peanut
661,7.5,80,20,Peanut
662,7.2,80,26,Peanut
663,5.1,80,20,Peanut
664,6.6,80,21,Peanut
665,7.4,80,19,Peanut
666,5.3,80,26,Peanut
667,7.1,80,29,Peanut
668,6.3,80,25,Peanut
669,5.1,80,27,Peanut
670,7.1,80,18,Peanut
671,6.6,80,27,Peanut
672,6.4,80,24,Peanut
673,5.7,80,24,Peanut
674,6,80,24,Peanut
675,6.6,80,24,Peanut
676,7.1,80,21,Peanut
677,7.1,80,27,Peanut
678,5.6,80,24,Peanut
679,6.2,80,18,Peanut
680,7.3,80,20,Peanut
681,5.2,80,23,Peanut
682,7.3,80,21,Peanut
683,5.2,80,22,Peanut
684,7.2,80,19,Peanut
685,7.1,80,22,Peanut
686,6.9,80,22,Peanut
687,6.4,80,27,Peanut
688,6.4,80,19,Peanut
689,6.4,80,25,Peanut
690,6.1,80,17,Peanut
691,6.6,80,21,Peanut
692,6.7,80,19,Peanut
693,6.9,80,27,Peanut
694,6.3,80,24,Peanut
695,6.8,80,28,Peanut
696,6.4,80,27,Peanut
697,6.2,80,28,Peanut
698,6.9,80,27,Peanut
699,5.4,80,25,Peanut
700,6.3,80,25,Peanut
701,5.8,80,25,Peanut
702,6.1,80,22,Peanut
703,7,80,25,Peanut
704,7.4,80,26,Peanut
705,6.2,80,20,Peanut
706,5.6,80,25,Peanut
707,6.1,80,28,Peanut
708,5.9,80,19,Peanut
709,5.3,80,18,Peanut
710,6.4,80,21,Peanut
711,5.8,80,25,Peanut
712,6.3,80,23,Peanut
713,5.7,80,26,Peanut
714,6.8,80,22,Peanut
715,5.7,80,23,Peanut
716,7.1,80,28,Peanut
717,6,80,23,Peanut
718,5.1,80,27,Peanut
719,7,80,26,Peanut
720,6.3,80,20,Peanut
721,6.3,80,23,Peanut
722,6.6,80,23,Peanut
723,5.3,80,23,Peanut
724,6.2,80,21,Peanut
725,5.6,80,27,Peanut
726,6.4,80,26,Peanut
727,7.1,80,24,Peanut
728,6.7,80,18,Peanut
729,6.3,80,22,Peanut
730,6.8,80,29,Peanut
731,5.6,80,29,Peanut
732,6.9,80,28,Peanut
733,6.6,80,27,Peanut
734,5.5,80,26,Peanut
735,6.7,80,27,Peanut
736,6.1,80,24,Peanut
737,6.4,80,27,Peanut
738,6.8,80,28,Peanut
739,6,80,22,Peanut
740,7,80,17,Peanut
741,6.2,80,26,Peanut
742,7.1,80,19,Peanut
743,6.3,80,24,Peanut
744,5.4,80,27,Peanut
745,7.2,80,29,Peanut
746,7.1,80,18,Peanut
747,7,80,24,Peanut
748,5.4,80,28,Peanut
749,5.1,80,25,Peanut
750,5.4,80,20,Peanut
751,5.9,80,23,Peanut
752,5.2,80,21,Peanut
753,7.4,80,26,Peanut
754,5,80,21,Peanut
755,6.7,80,19,Peanut
756,7.1,80,21,Peanut
757,5.7,80,18,Peanut
758,6.3,80,29,Peanut
759,6.1,80,25,Peanut
760,7,80,21,Peanut
761,6.1,80,19,Peanut
762,5.6,80,24,Peanut
763,5.1,80,26,Peanut
764,7,80,21,Peanut
765,6.3,80,28,Peanut
766,5.5,80,23,Peanut
767,7.2,80,17,Peanut
768,7.4,80,19,Peanut
769,6.9,80,22,Peanut
770,7.1,80,18,Peanut
771,6.9,80,18,Peanut
772,6.3,80,28,Peanut
773,6.2,80,20,Peanut
774,6,80,21,Peanut
775,7.3,80,17,Peanut
776,5.9,80,21,Peanut
777,5.1,80,27,Peanut
778,5.2,80,28,Peanut
779,7.3,80,25,Peanut
780,6.9,80,18,Peanut
781,7,80,21,Peanut
782,6.6,80,23,Peanut
783,5.9,80,25,Peanut
784,6.3,80,27,Peanut
785,5.7,80,23,Peanut
786,5.8,80,20,Peanut
787,5.7,80,26,Peanut
788,5.6,80,17,Peanut
789,7,80,27,Peanut
790,7,80,19,Peanut
791,6.1,80,20,Peanut
792,6.4,80,18,Peanut
793,6.4,80,25,Peanut
794,5.6,80,21,Peanut
795,7.5,80,18,Peanut
796,5.5,80,22,Peanut
797,6.5,80,22,Peanut
798,7,80,27,Peanut
799,7.2,80,24,Peanut
800,7.5,80,25,Peanut
801,6.1,80,23,Peanut
802,5.7,80,21,Peanut
803,7.4,80,18,Peanut
804,6.3,80,21,Peanut
805,5.1,80,27,Peanut
806,6.3,80,23,Peanut
807,5.9,80,20,Peanut
808,5,80,17,Peanut
809,5.5,80,23,Peanut
810,5.2,80,27,Peanut
811,6.7,80,24,Peanut
812,6.6,80,21,Peanut
813,5,80,29,Peanut
814,7.2,80,27,Peanut
815,6.8,80,20,Peanut
816,7.5,80,22,Peanut
817,5.4,80,21,Peanut
818,5.6,80,23,Peanut
819,6.6,80,24,Peanut
820,5.6,80,19,Peanut
821,5.6,80,23,Peanut
822,6.7,80,20,Peanut
823,7.4,80,17,Peanut
824,5.5,80,25,Peanut
825,6.9,80,24,Peanut
826,6,80,21,Peanut
827,6.4,80,27,Peanut
828,7.4,80,26,Peanut
829,5,80,21,Peanut
830,7.2,80,18,Peanut
831,7.2,80,27,Peanut
832,5.9,80,25,Peanut
833,5.5,80,29,Peanut
834,6.8,80,24,Peanut
835,6,80,22,Peanut
836,7,80,18,Peanut
837,5.8,80,28,Peanut
838,6.2,80,21,Peanut
839,5.9,80,27,Peanut
840,7.2,80,18,Peanut
841,7.1,80,28,Peanut
842,5.2,80,23,Peanut
843,7,80,27,Peanut
844,5.2,80,25,Peanut
845,7.2,80,20,Peanut
846,6.2,80,26,Peanut
847,6.7,80,21,Peanut
848,5.4,80,19,Peanut
849,6.5,80,28,Peanut
850,5.6,80,21,Peanut
851,6,80,29,Peanut
852,7.2,80,18,Peanut
853,6,80,23,Peanut
854,7.4,80,24,Peanut
855,6.1,80,26,Peanut
856,6.7,80,24,Peanut
857,6.5,80,18,Peanut
858,6.6,80,19,Peanut
859,7.4,80,20,Peanut
860,6.3,80,28,Peanut
861,7.5,80,29,Peanut
862,5.4,80,19,Peanut
863,5.6,80,24,Peanut
864,6.7,80,18,Peanut
865,6.5,80,19,Peanut
866,5.9,80,18,Peanut
867,7,80,21,Peanut
868,5.7,80,24,Peanut
869,6,80,26,Peanut
870,6.5,80,18,Peanut
871,5.8,80,19,Peanut
872,6.1,80,24,Peanut
873,7.4,80,26,Peanut
874,6.6,80,20,Peanut
875,7.4,80,22,Peanut
876,7.1,80,25,Peanut
877,5,80,27,Peanut
878,5.9,80,25,Peanut
879,6.9,80,28,Peanut
880,7.1,80,22,Peanut
881,7.5,80,18,Peanut
882,7.1,80,23,Peanut
883,6.3,80,22,Peanut
884,7,80,24,Peanut
885,6.6,80,29,Peanut
886,7.1,80,20,Peanut
887,5.4,80,19,Peanut
888,7.1,80,24,Peanut
889,7.3,80,25,Peanut
890,5.1,80,22,Peanut
891,6.9,80,18,Peanut
892,6.8,80,24,Peanut
893,5.4,80,17,Peanut
894,6.9,80,19,Peanut
895,5.5,80,21,Peanut
896,5.4,80,20,Peanut
897,6,80,20,Peanut
898,6.8,80,22,Peanut
899,6.6,80,26,Peanut
900,6.6,80,28,Peanut
901,6.4,80,22,Peanut
902,5.4,80,28,Peanut
903,6.8,80,23,Peanut
904,6.2,80,17,Peanut
905,5.8,80,21,Peanut
906,5.8,80,27,Peanut
907,6.4,80,25,Peanut
908,7,80,25,Peanut
909,6.8,80,26,Peanut
910,5.2,80,29,Peanut
911,7.3,80,24,Peanut
912,5.9,80,24,Peanut
913,5.2,80,19,Peanut
914,6.2,80,25,Peanut
915,6,80,22,Peanut
916,5,80,19,Peanut
917,6.5,80,29,Peanut
918,6.7,80,20,Peanut
919,7.1,80,22,Peanut
920,5.5,80,18,Peanut
921,6.5,80,21,Peanut
922,5.8,80,27,Peanut
923,7.2,80,18,Peanut
924,5.2,80,17,Peanut
925,6.7,80,25,Peanut
926,5.7,80,27,Peanut
927,5.4,80,18,Peanut
928,6.3,80,20,Peanut
929,7.3,80,21,Peanut
930,7.4,80,17,Peanut
931,7.4,80,24,Peanut
932,5.4,80,21,Peanut
933,5.8,80,26,Peanut
934,6.6,80,20,Peanut
935,5.2,80,21,Peanut
936,5.9,80,18,Peanut
937,5.5,80,21,Peanut
938,6.6,80,20,Peanut
939,7.1,80,22,Peanut
940,5.2,80,26,Peanut
941,6.5,80,29,Peanut
942,6.9,80,25,Peanut
943,6.1,80,26,Peanut
944,7.2,80,17,Peanut
945,5.4,80,19,Peanut
946,7.3,80,22,Peanut
947,6.7,80,21,Peanut
948,5.2,80,28,Peanut
949,7.2,80,29,Peanut
950,7,80,27,Peanut
951,5.9,80,28,Peanut
952,5.7,80,25,Peanut
953,5.5,80,17,Peanut
954,5.7,80,22,Peanut
955,6.1,80,28,Peanut
956,7.2,80,27,Peanut
957,5.8,80,24,Peanut
958,6.9,80,20,Peanut
959,5.8,80,24,Peanut
960,5.1,80,25,Peanut
961,6.5,80,25,Peanut
962,5.5,80,25,Peanut
963,5.8,80,27,Peanut
964,6.8,80,20,Peanut
965,5.1,80,27,Peanut
966,7.2,80,22,Peanut
967,5.8,80,28,Peanut
968,6.6,80,21,Peanut
969,7.3,80,28,Peanut
970,5.1,80,26,Peanut
971,7.4,80,20,Peanut
972,5.4,80,27,Peanut
973,6.6,80,20,Peanut
974,6.4,80,24,Peanut
