SoilPh,RelativeHumidity,SoilTemperature,Insect1,Insect2
5.8,93,7,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.7,92,6,Cane Borer,Aphids
5.9,92,6,Cane Borer,Aphids
5.8,93,6,Cane Borer,Aphids
5.8,93,6,Cane Borer,Aphids
5.8,93,10,Cane Borer,Aphids
5.7,92,9,Cane Borer,Aphids
5.7,93,10,Cane Borer,Aphids
5.9,92,10,Cane Borer,Aphids
5.7,93,6,Cane Borer,Aphids
5.9,92,9,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.9,93,6,Cane Borer,Aphids
5.8,93,8,Cane Borer,Aphids
5.8,92,7,Cane Borer,Aphids
5.9,93,10,Cane Borer,Aphids
5.6,93,9,Cane Borer,Aphids
5.9,93,7,Cane Borer,Aphids
5.6,92,10,Cane Borer,Aphids
5.7,93,8,Cane Borer,Aphids
5.9,93,6,Cane Borer,Aphids
5.9,92,8,Cane Borer,Aphids
5.9,93,7,Cane Borer,Aphids
5.6,92,6,Cane Borer,Aphids
6,92,9,Cane Borer,Aphids
5.7,93,7,Cane Borer,Aphids
6,93,7,Cane Borer,Aphids
5.8,93,8,Cane Borer,Aphids
6,92,8,Cane Borer,Aphids
5.9,93,7,Cane Borer,Aphids
5.7,93,7,Cane Borer,Aphids
5.8,93,8,Cane Borer,Aphids
5.8,93,9,Cane Borer,Aphids
5.8,92,9,Cane Borer,Aphids
5.7,92,8,Cane Borer,Aphids
5.9,93,8,Cane Borer,Aphids
5.8,92,9,Cane Borer,Aphids
5.8,93,6,Cane Borer,Aphids
5.9,93,6,Cane Borer,Aphids
5.6,92,9,Cane Borer,Aphids
5.8,92,7,Cane Borer,Aphids
5.7,93,9,Cane Borer,Aphids
6,93,7,Cane Borer,Aphids
5.6,92,7,Cane Borer,Aphids
5.7,92,8,Cane Borer,Aphids
5.7,92,8,Cane Borer,Aphids
5.7,93,8,Cane Borer,Aphids
5.7,92,9,Cane Borer,Aphids
5.7,93,9,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.6,93,6,Cane Borer,Aphids
5.8,92,8,Cane Borer,Aphids
6,93,10,Cane Borer,Aphids
5.9,93,8,Cane Borer,Aphids
5.8,93,7,Cane Borer,Aphids
5.6,92,7,Cane Borer,Aphids
5.8,92,7,Cane Borer,Aphids
6,92,8,Cane Borer,Aphids
5.9,92,7,Cane Borer,Aphids
5.7,92,7,Cane Borer,Aphids
5.9,93,8,Cane Borer,Aphids
5.8,93,7,Cane Borer,Aphids
5.8,92,8,Cane Borer,Aphids
6,93,10,Cane Borer,Aphids
4,87,3,Blueberry Gall Midge,Obscure Root Weevil
4.5,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.3,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.6,88,1,Blueberry Gall Midge,Obscure Root Weevil
4.4,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.7,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.6,86,3,Blueberry Gall Midge,Obscure Root Weevil
4.9,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.1,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.7,87,2,Blueberry Gall Midge,Obscure Root Weevil
4,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.3,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.6,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.5,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.7,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.2,86,3,Blueberry Gall Midge,Obscure Root Weevil
4.1,88,1,Blueberry Gall Midge,Obscure Root Weevil
4.1,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.8,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.5,88,3,Blueberry Gall Midge,Obscure Root Weevil
4.5,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,85,1,Blueberry Gall Midge,Obscure Root Weevil
4.5,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.2,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.3,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,85,3,Blueberry Gall Midge,Obscure Root Weevil
4.1,87,1,Blueberry Gall Midge,Obscure Root Weevil
4.1,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.1,85,3,Blueberry Gall Midge,Obscure Root Weevil
4.6,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.6,88,3,Blueberry Gall Midge,Obscure Root Weevil
4.2,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.9,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.2,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.3,86,3,Blueberry Gall Midge,Obscure Root Weevil
4.4,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.1,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,85,1,Blueberry Gall Midge,Obscure Root Weevil
4.9,85,1,Blueberry Gall Midge,Obscure Root Weevil
4.3,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.4,85,1,Blueberry Gall Midge,Obscure Root Weevil
4.8,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.8,86,3,Blueberry Gall Midge,Obscure Root Weevil
5,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.6,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,88,1,Blueberry Gall Midge,Obscure Root Weevil
4.5,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.9,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.9,87,1,Blueberry Gall Midge,Obscure Root Weevil
4.2,85,3,Blueberry Gall Midge,Obscure Root Weevil
4.9,85,3,Blueberry Gall Midge,Obscure Root Weevil
4.3,87,1,Blueberry Gall Midge,Obscure Root Weevil
4.2,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.7,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.1,85,3,Blueberry Gall Midge,Obscure Root Weevil
4.9,87,1,Blueberry Gall Midge,Obscure Root Weevil
4.7,87,3,Blueberry Gall Midge,Obscure Root Weevil
4.6,86,3,Blueberry Gall Midge,Obscure Root Weevil
4.3,86,2,Blueberry Gall Midge,Obscure Root Weevil
5,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.6,87,1,Blueberry Gall Midge,Obscure Root Weevil
4.9,88,3,Blueberry Gall Midge,Obscure Root Weevil
4,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.7,85,3,Blueberry Gall Midge,Obscure Root Weevil
4.4,86,1,Blueberry Gall Midge,Obscure Root Weevil
4.8,85,1,Blueberry Gall Midge,Obscure Root Weevil
5,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.2,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.6,87,1,Blueberry Gall Midge,Obscure Root Weevil
4.4,86,3,Blueberry Gall Midge,Obscure Root Weevil
4,87,3,Blueberry Gall Midge,Obscure Root Weevil
4.6,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,86,3,Blueberry Gall Midge,Obscure Root Weevil
4.2,88,2,Blueberry Gall Midge,Obscure Root Weevil
4,87,2,Blueberry Gall Midge,Obscure Root Weevil
4,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.1,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.4,86,2,Blueberry Gall Midge,Obscure Root Weevil
4.8,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.3,88,1,Blueberry Gall Midge,Obscure Root Weevil
4.9,85,1,Blueberry Gall Midge,Obscure Root Weevil
4.8,85,3,Blueberry Gall Midge,Obscure Root Weevil
5,88,3,Blueberry Gall Midge,Obscure Root Weevil
4.3,85,2,Blueberry Gall Midge,Obscure Root Weevil
4.1,85,2,Blueberry Gall Midge,Obscure Root Weevil
5,88,1,Blueberry Gall Midge,Obscure Root Weevil
4.4,87,3,Blueberry Gall Midge,Obscure Root Weevil
4.4,87,2,Blueberry Gall Midge,Obscure Root Weevil
4.5,88,2,Blueberry Gall Midge,Obscure Root Weevil
4.3,88,3,Blueberry Gall Midge,Obscure Root Weevil
4.9,88,3,Blueberry Gall Midge,Obscure Root Weevil
5.4,89,6,Aphids,Cane Borer
5.9,89,7,Aphids,Cane Borer
5.4,90,4,Aphids,Cane Borer
5.8,89,4,Aphids,Cane Borer
5.2,89,4,Aphids,Cane Borer
5.4,90,5,Aphids,Cane Borer
5.6,90,5,Aphids,Cane Borer
5.4,90,4,Aphids,Cane Borer
5.5,89,4,Aphids,Cane Borer
5.1,89,6,Aphids,Cane Borer
5.9,89,7,Aphids,Cane Borer
5.5,89,6,Aphids,Cane Borer
5.1,90,7,Aphids,Cane Borer
5.8,90,4,Aphids,Cane Borer
5.7,89,5,Aphids,Cane Borer
5.4,90,5,Aphids,Cane Borer
5.5,89,6,Aphids,Cane Borer
5.2,89,5,Aphids,Cane Borer
5.2,90,4,Aphids,Cane Borer
5.2,89,7,Aphids,Cane Borer
5.1,89,4,Aphids,Cane Borer
5.9,89,7,Aphids,Cane Borer
5.9,90,4,Aphids,Cane Borer
5.4,90,6,Aphids,Cane Borer
5.7,89,6,Aphids,Cane Borer
5.7,90,5,Aphids,Cane Borer
5.3,90,4,Aphids,Cane Borer
5.6,89,6,Aphids,Cane Borer
5.6,90,5,Aphids,Cane Borer
5.6,90,5,Aphids,Cane Borer
5.7,89,4,Aphids,Cane Borer
5.6,89,7,Aphids,Cane Borer
5.4,90,5,Aphids,Cane Borer
5.7,90,6,Aphids,Cane Borer
5.4,90,5,Aphids,Cane Borer
5.5,90,5,Aphids,Cane Borer
5.7,90,6,Aphids,Cane Borer
5.3,90,4,Aphids,Cane Borer
5.9,90,4,Aphids,Cane Borer
5.3,90,5,Aphids,Cane Borer
5.8,90,6,Aphids,Cane Borer
5.3,90,7,Aphids,Cane Borer
5.1,89,6,Aphids,Cane Borer
6,89,4,Aphids,Cane Borer
5.8,89,7,Aphids,Cane Borer
5.3,89,7,Aphids,Cane Borer
5.9,89,5,Aphids,Cane Borer
5.8,89,6,Aphids,Cane Borer
5.5,89,7,Aphids,Cane Borer
5.5,90,5,Aphids,Cane Borer
5.5,90,5,Aphids,Cane Borer
5.4,89,6,Aphids,Cane Borer
5.4,90,6,Aphids,Cane Borer
6,90,7,Aphids,Cane Borer
5.1,90,6,Aphids,Cane Borer
5.6,89,5,Aphids,Cane Borer
5.6,90,7,Aphids,Cane Borer
5.5,90,5,Aphids,Cane Borer
5.5,90,7,Aphids,Cane Borer
5.5,89,6,Aphids,Cane Borer
5.5,89,5,Aphids,Cane Borer
5.4,90,6,Aphids,Cane Borer
5.9,90,4,Aphids,Cane Borer
5.6,90,6,Aphids,Cane Borer
5.7,89,5,Aphids,Cane Borer
5.1,89,4,Aphids,Cane Borer
5.2,89,6,Aphids,Cane Borer
5.1,90,5,Aphids,Cane Borer
5.4,90,5,Aphids,Cane Borer
5.7,89,4,Aphids,Cane Borer
5.9,89,5,Aphids,Cane Borer
5.9,90,4,Aphids,Cane Borer
5.6,90,5,Aphids,Cane Borer
5.5,89,7,Aphids,Cane Borer
5.9,89,6,Aphids,Cane Borer
5.9,89,7,Aphids,Cane Borer
5.4,90,4,Aphids,Cane Borer
5.9,89,5,Aphids,Cane Borer
5.4,89,6,Aphids,Cane Borer
5.3,89,7,Aphids,Cane Borer
5.9,89,6,Aphids,Cane Borer
5.8,90,4,Aphids,Cane Borer
5.8,90,6,Aphids,Cane Borer
5.3,90,6,Aphids,Cane Borer
5.1,89,5,Aphids,Cane Borer
5.4,90,6,Aphids,Cane Borer
5.3,89,6,Aphids,Cane Borer
5.7,90,6,Aphids,Cane Borer
5.7,90,6,Aphids,Cane Borer
6,90,7,Aphids,Cane Borer
5.6,89,6,Aphids,Cane Borer
5.2,89,6,Aphids,Cane Borer
5.1,90,6,Aphids,Cane Borer
5.3,90,6,Aphids,Cane Borer
5.7,90,4,Aphids,Cane Borer
5.6,89,7,Aphids,Cane Borer
5.9,90,5,Aphids,Cane Borer
5.4,90,4,Aphids,Cane Borer
5.3,89,5,Aphids,Cane Borer
5.5,89,6,Aphids,Cane Borer
4.9,86,3,Cutworm,Obscure Root Weevil
4.9,75,2,Cutworm,Obscure Root Weevil
4.3,83,3,Cutworm,Obscure Root Weevil
4.2,78,4,Cutworm,Obscure Root Weevil
4.9,81,4,Cutworm,Obscure Root Weevil
5,77,3,Cutworm,Obscure Root Weevil
4.6,77,3,Cutworm,Obscure Root Weevil
4.7,79,3,Cutworm,Obscure Root Weevil
4.8,76,2,Cutworm,Obscure Root Weevil
4.9,76,4,Cutworm,Obscure Root Weevil
4.3,79,4,Cutworm,Obscure Root Weevil
4.6,84,1,Cutworm,Obscure Root Weevil
4.8,83,1,Cutworm,Obscure Root Weevil
4.3,77,2,Cutworm,Obscure Root Weevil
4.8,85,3,Cutworm,Obscure Root Weevil
4.9,85,4,Cutworm,Obscure Root Weevil
4.3,85,3,Cutworm,Obscure Root Weevil
4.3,80,3,Cutworm,Obscure Root Weevil
4.1,81,3,Cutworm,Obscure Root Weevil
4.4,83,4,Cutworm,Obscure Root Weevil
4.3,81,2,Cutworm,Obscure Root Weevil
4.2,82,2,Cutworm,Obscure Root Weevil
4.6,85,2,Cutworm,Obscure Root Weevil
4.6,84,3,Cutworm,Obscure Root Weevil
4.4,75,2,Cutworm,Obscure Root Weevil
4.7,81,2,Cutworm,Obscure Root Weevil
4.3,77,2,Cutworm,Obscure Root Weevil
4.7,85,2,Cutworm,Obscure Root Weevil
4.5,83,3,Cutworm,Obscure Root Weevil
4.3,85,1,Cutworm,Obscure Root Weevil
4.7,78,2,Cutworm,Obscure Root Weevil
5,76,4,Cutworm,Obscure Root Weevil
4.7,85,3,Cutworm,Obscure Root Weevil
4.3,79,3,Cutworm,Obscure Root Weevil
4.1,83,3,Cutworm,Obscure Root Weevil
4,79,1,Cutworm,Obscure Root Weevil
4.2,82,2,Cutworm,Obscure Root Weevil
4.7,85,2,Cutworm,Obscure Root Weevil
4.9,79,3,Cutworm,Obscure Root Weevil
4.5,81,3,Cutworm,Obscure Root Weevil
4,75,2,Cutworm,Obscure Root Weevil
4.8,80,2,Cutworm,Obscure Root Weevil
4.8,76,2,Cutworm,Obscure Root Weevil
4.1,84,2,Cutworm,Obscure Root Weevil
4.5,78,3,Cutworm,Obscure Root Weevil
4.4,75,2,Cutworm,Obscure Root Weevil
4.4,84,2,Cutworm,Obscure Root Weevil
4.4,79,3,Cutworm,Obscure Root Weevil
4.1,77,2,Cutworm,Obscure Root Weevil
4.2,78,1,Cutworm,Obscure Root Weevil
4.6,85,4,Cutworm,Obscure Root Weevil
4.1,76,2,Cutworm,Obscure Root Weevil
4.6,76,3,Cutworm,Obscure Root Weevil
4.4,79,3,Cutworm,Obscure Root Weevil
5,84,2,Cutworm,Obscure Root Weevil
4.7,77,2,Cutworm,Obscure Root Weevil
4.5,85,2,Cutworm,Obscure Root Weevil
4.3,78,3,Cutworm,Obscure Root Weevil
4.5,84,1,Cutworm,Obscure Root Weevil
4.2,85,2,Cutworm,Obscure Root Weevil
4.4,84,1,Cutworm,Obscure Root Weevil
4.1,80,3,Cutworm,Obscure Root Weevil
4.3,75,2,Cutworm,Obscure Root Weevil
4.2,82,3,Cutworm,Obscure Root Weevil
4.6,77,2,Cutworm,Obscure Root Weevil
4.9,86,2,Cutworm,Obscure Root Weevil
4.6,78,2,Cutworm,Obscure Root Weevil
4.2,83,1,Cutworm,Obscure Root Weevil
4.9,77,3,Cutworm,Obscure Root Weevil
4.1,82,1,Cutworm,Obscure Root Weevil
4.2,78,1,Cutworm,Obscure Root Weevil
4.8,79,2,Cutworm,Obscure Root Weevil
4.6,76,1,Cutworm,Obscure Root Weevil
4.1,78,4,Cutworm,Obscure Root Weevil
4.5,86,3,Cutworm,Obscure Root Weevil
4.8,75,2,Cutworm,Obscure Root Weevil
4.9,76,1,Cutworm,Obscure Root Weevil
4,82,1,Cutworm,Obscure Root Weevil
4.7,78,3,Cutworm,Obscure Root Weevil
4.4,76,1,Cutworm,Obscure Root Weevil
4.3,79,2,Cutworm,Obscure Root Weevil
4.9,81,4,Cutworm,Obscure Root Weevil
4.5,76,3,Cutworm,Obscure Root Weevil
4.4,77,3,Cutworm,Obscure Root Weevil
4.5,79,2,Cutworm,Obscure Root Weevil
4.5,76,4,Cutworm,Obscure Root Weevil
4.1,79,1,Cutworm,Obscure Root Weevil
4.5,84,3,Cutworm,Obscure Root Weevil
4.9,83,2,Cutworm,Obscure Root Weevil
4.7,78,2,Cutworm,Obscure Root Weevil
4.6,78,3,Cutworm,Obscure Root Weevil
4.1,76,2,Cutworm,Obscure Root Weevil
4.5,76,4,Cutworm,Obscure Root Weevil
4,82,3,Cutworm,Obscure Root Weevil
4.2,76,2,Cutworm,Obscure Root Weevil
4.6,77,2,Cutworm,Obscure Root Weevil
4.9,83,4,Cutworm,Obscure Root Weevil
4.7,86,1,Cutworm,Obscure Root Weevil
4.3,79,4,Cutworm,Obscure Root Weevil
4.4,83,2,Cutworm,Obscure Root Weevil
5.4,92,7,Blackheaded Fireworm,Raspberry Fruitworm
5.4,95,8,Blackheaded Fireworm,Raspberry Fruitworm
5.4,89,6,Blackheaded Fireworm,Raspberry Fruitworm
5.4,88,7,Blackheaded Fireworm,Raspberry Fruitworm
5.3,89,6,Blackheaded Fireworm,Raspberry Fruitworm
5.2,95,6,Blackheaded Fireworm,Raspberry Fruitworm
5.2,96,5,Blackheaded Fireworm,Raspberry Fruitworm
5.2,92,6,Blackheaded Fireworm,Raspberry Fruitworm
5.1,93,5,Blackheaded Fireworm,Raspberry Fruitworm
5.5,88,7,Blackheaded Fireworm,Raspberry Fruitworm
5.4,93,5,Blackheaded Fireworm,Raspberry Fruitworm
5.2,87,8,Blackheaded Fireworm,Raspberry Fruitworm
5.2,96,5,Blackheaded Fireworm,Raspberry Fruitworm
5.3,91,10,Blackheaded Fireworm,Raspberry Fruitworm
5.2,97,5,Blackheaded Fireworm,Raspberry Fruitworm
5.4,88,7,Blackheaded Fireworm,Raspberry Fruitworm
5.2,92,9,Blackheaded Fireworm,Raspberry Fruitworm
5.4,91,9,Blackheaded Fireworm,Raspberry Fruitworm
5.2,92,7,Blackheaded Fireworm,Raspberry Fruitworm
5.4,87,9,Blackheaded Fireworm,Raspberry Fruitworm
5.5,95,9,Blackheaded Fireworm,Raspberry Fruitworm
5.2,95,6,Blackheaded Fireworm,Raspberry Fruitworm
5.4,88,8,Blackheaded Fireworm,Raspberry Fruitworm
5.5,96,8,Blackheaded Fireworm,Raspberry Fruitworm
5.3,91,6,Blackheaded Fireworm,Raspberry Fruitworm
5.1,93,9,Blackheaded Fireworm,Raspberry Fruitworm
5.2,97,6,Blackheaded Fireworm,Raspberry Fruitworm
5.5,90,9,Blackheaded Fireworm,Raspberry Fruitworm
5.1,89,9,Blackheaded Fireworm,Raspberry Fruitworm
5.5,93,9,Blackheaded Fireworm,Raspberry Fruitworm
5.2,88,7,Blackheaded Fireworm,Raspberry Fruitworm
5.2,93,10,Blackheaded Fireworm,Raspberry Fruitworm
5.3,88,9,Blackheaded Fireworm,Raspberry Fruitworm
5.3,94,6,Blackheaded Fireworm,Raspberry Fruitworm
5.3,97,6,Blackheaded Fireworm,Raspberry Fruitworm
5.3,90,9,Blackheaded Fireworm,Raspberry Fruitworm
5.1,91,6,Blackheaded Fireworm,Raspberry Fruitworm
5.2,95,9,Blackheaded Fireworm,Raspberry Fruitworm
5.4,96,8,Blackheaded Fireworm,Raspberry Fruitworm
5.2,96,10,Blackheaded Fireworm,Raspberry Fruitworm
5.4,89,8,Blackheaded Fireworm,Raspberry Fruitworm
5.1,94,6,Blackheaded Fireworm,Raspberry Fruitworm
5.1,98,5,Blackheaded Fireworm,Raspberry Fruitworm
5.1,96,8,Blackheaded Fireworm,Raspberry Fruitworm
5.4,94,9,Blackheaded Fireworm,Raspberry Fruitworm
5.3,90,5,Blackheaded Fireworm,Raspberry Fruitworm
5.1,97,6,Blackheaded Fireworm,Raspberry Fruitworm
5.2,88,9,Blackheaded Fireworm,Raspberry Fruitworm
5.3,87,6,Blackheaded Fireworm,Raspberry Fruitworm
5.2,92,8,Blackheaded Fireworm,Raspberry Fruitworm
5.2,93,8,Blackheaded Fireworm,Raspberry Fruitworm
5.3,97,6,Blackheaded Fireworm,Raspberry Fruitworm
5.3,95,9,Blackheaded Fireworm,Raspberry Fruitworm
