SoilPh,RelativeHumidity,SoilTemperature,Fruit
6.1,45,16,Apple
6,41,19,Apple
6.2,34,28,Apple
6.8,49,32,Apple
7,40,25,Apple
6.3,48,12,Apple
6.7,31,11,Apple
6.7,43,6,Apple
6.7,38,7,Apple
6.5,41,7,Apple
6.6,31,25,Apple
6.3,33,31,Apple
6.6,37,12,Apple
6.3,35,9,Apple
6.6,48,22,Apple
6.2,44,8,Apple
6.7,37,22,Apple
6.1,33,3,Apple
6.6,35,27,Apple
6.5,42,1,Apple
6.4,45,31,Apple
6.1,48,4,Apple
6.7,39,5,Apple
6.3,44,19,Apple
6.8,42,18,Apple
6.4,32,5,Apple
6.7,48,13,Apple
6.5,31,28,Apple
6.4,43,25,Apple
6.4,43,5,Apple
6.8,37,12,Apple
6.1,32,5,Apple
7,41,19,Apple
6.3,45,12,Apple
6.6,30,6,Apple
6.4,46,13,Apple
6,37,29,Apple
6.5,45,5,Apple
6,32,25,Apple
6.8,40,14,Apple
7,32,2,Apple
6.5,46,18,Apple
6.2,47,27,Apple
6.8,43,10,Apple
6,47,21,Apple
6.2,37,22,Apple
6.2,35,9,Apple
6.1,47,12,Apple
6.6,33,24,Apple
6.4,35,4,Apple
6.4,34,29,Apple
7,35,7,Apple
6.2,31,6,Apple
6.6,39,7,Apple
6.6,39,19,Apple
6.1,35,29,Apple
6.8,36,27,Apple
6.4,38,21,Apple
6.1,31,20,Apple
6.2,34,2,Apple
6.8,37,19,Apple
6.8,35,26,Apple
6.3,35,21,Apple
6.5,49,17,Apple
6.4,46,9,Apple
6.6,46,20,Apple
6.2,36,20,Apple
6.2,31,29,Apple
6.3,30,6,Apple
6.9,39,13,Apple
6.1,36,13,Apple
6.3,44,26,Apple
6.8,40,30,Apple
6.4,44,15,Apple
6.4,34,13,Apple
6.4,41,11,Apple
6.5,30,28,Apple
6.9,31,7,Apple
6.8,47,13,Apple
7,42,32,Apple
6.9,42,7,Apple
6.7,44,15,Apple
6.2,42,19,Apple
6.1,33,23,Apple
6.4,34,8,Apple
6.4,49,9,Apple
6.3,39,23,Apple
6.6,38,26,Apple
6.4,43,4,Apple
6.6,47,19,Apple
6.8,33,3,Apple
6.3,45,16,Apple
6.1,42,11,Apple
6.5,41,22,Apple
6.8,36,23,Apple
6.6,42,28,Apple
6.3,38,21,Apple
6.1,47,23,Apple
6.9,36,7,Apple
6.8,36,20,Apple
6.8,39,3,Apple
6.5,40,11,Apple
6,36,24,Apple
6.1,33,11,Apple
6.7,36,12,Apple
6.1,49,15,Apple
6.8,37,11,Apple
6.7,31,16,Apple
6.4,36,13,Apple
6.8,31,2,Apple
6.7,45,12,Apple
6.6,37,23,Apple
6.5,32,21,Apple
6.1,32,24,Apple
6.6,41,23,Apple
6.1,36,12,Apple
6.4,41,4,Apple
6.8,32,1,Apple
7,33,27,Apple
6.7,47,19,Apple
6.4,39,10,Apple
7,49,12,Apple
6.6,32,32,Apple
6.1,44,17,Apple
6.5,34,22,Apple
6.4,31,4,Apple
6.5,37,4,Apple
6.8,40,6,Apple
6.9,41,10,Apple
6.8,33,16,Apple
6.6,50,26,Apple
6.8,34,13,Apple
6.6,41,5,Apple
6.7,42,3,Apple
7,42,4,Apple
6.8,37,11,Apple
6.7,42,17,Apple
6.1,31,16,Apple
6.8,46,20,Apple
6.3,35,27,Apple
6.8,35,10,Apple
6.8,49,21,Apple
6.6,46,28,Apple
6.5,30,8,Apple
6.3,39,18,Apple
6.6,44,1,Apple
6.6,45,30,Apple
6.5,45,1,Apple
6.6,46,29,Apple
6.3,34,26,Apple
6.4,43,9,Apple
6.1,31,21,Apple
6.4,49,1,Apple
6.5,39,17,Apple
6.1,42,22,Apple
6.2,45,18,Apple
6.4,33,10,Apple
6.4,34,1,Apple
6.4,41,16,Apple
6.6,44,18,Apple
6.5,34,13,Apple
6.7,48,21,Apple
6.5,48,11,Apple
6.6,41,4,Apple
6.1,30,7,Apple
6.8,42,27,Apple
7,49,24,Apple
6.9,44,26,Apple
6.3,39,3,Apple
6.7,44,4,Apple
6.9,44,27,Apple
6.9,32,20,Apple
6.1,40,9,Apple
7,46,10,Apple
6.8,32,6,Apple
6.7,38,19,Apple
6.5,30,6,Apple
6.9,36,2,Apple
6.4,31,12,Apple
6.8,36,18,Apple
6.3,36,29,Apple
6.8,48,12,Apple
7,42,31,Apple
6,42,28,Apple
6.4,42,19,Apple
6.6,35,32,Apple
6.6,43,22,Apple
6.5,30,26,Apple
7,34,21,Apple
6,38,3,Apple
6.1,47,23,Apple
6.9,44,7,Apple
6.4,45,10,Apple
6.8,47,4,Apple
6.8,31,2,Apple
6.7,37,16,Apple
6.7,31,24,Apple
6.5,35,6,Apple
6.6,45,14,Apple
6.3,37,22,Apple
6.7,31,2,Apple
6.8,42,15,Apple
7,40,18,Apple
6.7,32,20,Apple
6.9,42,3,Apple
6.3,35,24,Apple
6.8,40,11,Apple
6.9,39,5,Apple
6.6,35,25,Apple
6.2,38,4,Apple
6.4,31,19,Apple
6.8,47,23,Apple
6.8,31,18,Apple
6.7,44,25,Apple
6.5,46,25,Apple
6.6,40,20,Apple
6.7,44,25,Apple
6.1,36,17,Apple
6.7,33,31,Apple
6.7,34,32,Apple
6.6,42,6,Apple
6.2,41,24,Apple
6.1,41,29,Apple
6.4,42,28,Apple
6.2,32,32,Apple
6.2,44,10,Apple
6.1,34,10,Apple
6.5,30,1,Apple
6,33,30,Apple
6.9,40,15,Apple
6.2,31,2,Apple
6.2,33,6,Apple
6.7,31,10,Apple
6.7,43,29,Apple
6.2,42,6,Apple
6.9,45,5,Apple
6.9,44,13,Apple
6.4,39,26,Apple
6.6,37,31,Apple
6.5,46,32,Apple
6.3,48,5,Apple
6.7,30,30,Apple
6.1,37,2,Apple
6.3,47,4,Apple
6.6,37,3,Apple
6.6,39,13,Apple
6.3,41,22,Apple
6.6,37,7,Apple
6.5,46,20,Apple
6.6,50,16,Apple
6.7,36,15,Apple
6.3,42,22,Apple
6.2,32,5,Apple
6.8,44,26,Apple
6.6,49,20,Apple
6.4,37,12,Apple
6.4,49,28,Apple
7,30,23,Apple
6.9,40,32,Apple
6.5,32,4,Apple
6.5,44,31,Apple
6.9,35,5,Apple
6.3,46,31,Apple
7,33,1,Apple
6.3,34,3,Apple
6.6,30,20,Apple
6.8,43,23,Apple
6.8,47,29,Apple
6.5,39,12,Apple
6.4,37,26,Apple
6.5,41,13,Apple
6.6,40,7,Apple
6.1,49,30,Apple
6.5,41,20,Apple
6.6,34,16,Apple
6.4,33,27,Apple
6.2,33,19,Apple
6.8,31,20,Apple
6.4,31,30,Apple
6.7,30,20,Apple
6.4,42,18,Apple
6.9,30,6,Apple
6,42,6,Apple
6.9,45,22,Apple
6.3,36,22,Apple
6.4,37,27,Apple
6.3,42,30,Apple
6.1,43,18,Apple
7,50,30,Apple
6.1,30,8,Apple
6.2,47,14,Apple
6.5,34,6,Apple
6.3,32,15,Apple
6.8,33,24,Apple
6.9,34,16,Apple
6.9,36,7,Apple
6.3,36,16,Apple
7,48,13,Apple
6.5,45,28,Apple
6.9,41,23,Apple
6.2,34,18,Apple
6.9,37,6,Apple
6.6,43,13,Apple
6.7,40,20,Apple
6.1,45,26,Apple
6.6,49,15,Apple
6.5,48,1,Apple
6.6,48,23,Apple
6.8,36,20,Apple
6.1,40,29,Apple
7,34,14,Apple
6.4,33,10,Apple
6.1,35,19,Apple
6.9,31,13,Apple
6,41,29,Apple
6.1,49,10,Apple
6.1,47,14,Apple
6.4,32,19,Apple
6.3,47,4,Apple
6.6,30,17,Apple
6.2,43,15,Apple
6.2,42,27,Apple
6.4,37,27,Apple
6.6,48,17,Apple
6.1,42,25,Apple
6.9,44,26,Apple
6.4,48,17,Apple
6.7,42,5,Apple
6.2,39,31,Apple
7,32,4,Apple
6.9,42,15,Apple
6.1,47,4,Apple
6.8,47,4,Apple
6.1,39,24,Apple
6.7,45,2,Apple
7,34,6,Apple
6.4,42,24,Apple
6.9,40,2,Apple
6.7,37,5,Apple
6.5,40,26,Apple
6.5,32,8,Apple
7,36,24,Apple
6.4,49,18,Apple
6.4,40,5,Apple
6.9,33,18,Apple
6.3,34,4,Apple
6.1,41,11,Apple
6.6,34,2,Apple
6.6,49,22,Apple
7,48,16,Apple
6.9,50,26,Apple
6.7,50,23,Apple
6.2,38,20,Apple
6.8,48,23,Apple
6.5,37,24,Apple
6.6,49,29,Apple
6.7,32,26,Apple
6.3,39,31,Apple
6.3,31,20,Apple
6,31,5,Apple
6.6,40,29,Apple
6.1,41,29,Apple
6.2,36,21,Apple
6.8,46,6,Apple
6.3,43,4,Apple
6.2,49,22,Apple
6.3,40,22,Apple
7,43,31,Apple
6.5,48,4,Apple
6.8,47,3,Apple
7,46,25,Apple
6.1,35,24,Apple
6.2,44,24,Apple
6.7,34,29,Apple
6.3,45,8,Apple
6.6,41,19,Apple
6.7,44,12,Apple
6.7,30,17,Apple
6.5,44,2,Apple
7,31,23,Apple
6.5,44,17,Apple
6.3,43,8,Apple
6.7,32,20,Apple
6.6,49,20,Apple
6.5,33,18,Apple
6.1,37,9,Apple
6.9,32,3,Apple
6.5,39,19,Apple
6.2,31,3,Apple
6.3,46,8,Apple
6,36,19,Apple
6.2,47,20,Apple
6.2,50,24,Apple
6.1,46,1,Apple
6.1,49,27,Apple
6.4,50,30,Apple
6.5,31,10,Apple
6.8,32,11,Apple
6.3,46,9,Apple
6.4,47,20,Apple
6.8,45,30,Apple
6.9,42,5,Apple
6,44,20,Apple
6.5,32,29,Apple
6.2,37,18,Apple
6.3,49,23,Apple
6,30,14,Apple
6.7,36,30,Apple
6.5,33,22,Apple
6.6,49,23,Apple
5.6,91,34,Banana
6.3,94,28,Banana
6,93,28,Banana
6.4,91,28,Banana
6,95,30,Banana
6.1,93,29,Banana
6.1,92,28,Banana
5.8,94,34,Banana
5.8,91,34,Banana
6.5,91,35,Banana
6.1,94,32,Banana
6.3,94,31,Banana
6.3,95,32,Banana
6.7,95,34,Banana
6.9,91,30,Banana
6.8,94,29,Banana
6.8,91,32,Banana
5.5,92,27,Banana
5.7,94,34,Banana
6,92,34,Banana
6.1,95,29,Banana
6.7,94,31,Banana
6.9,94,28,Banana
6.5,92,28,Banana
5.5,91,33,Banana
6.4,94,28,Banana
6.1,94,34,Banana
5.7,94,34,Banana
6.8,95,30,Banana
6.6,92,35,Banana
6,91,30,Banana
6.4,93,33,Banana
6.7,92,33,Banana
5.9,94,35,Banana
5.9,95,32,Banana
6.7,93,29,Banana
6.9,94,29,Banana
6.1,93,34,Banana
6.6,91,32,Banana
6.4,92,29,Banana
5.8,93,29,Banana
5.6,92,35,Banana
6.7,92,27,Banana
6,93,28,Banana
6.7,94,34,Banana
5.5,93,33,Banana
5.6,91,35,Banana
5.7,94,28,Banana
6.3,91,29,Banana
6.4,90,31,Banana
5.5,93,33,Banana
5.7,92,34,Banana
6.2,94,32,Banana
6.7,94,33,Banana
6.3,92,30,Banana
6.1,93,31,Banana
6.1,91,30,Banana
6.7,92,31,Banana
5.5,95,28,Banana
6.4,90,29,Banana
5.9,91,28,Banana
5.8,95,32,Banana
6.9,93,29,Banana
5.6,91,32,Banana
6.9,92,35,Banana
6.5,94,31,Banana
5.5,91,30,Banana
5.8,91,34,Banana
6.2,92,29,Banana
6.2,93,28,Banana
6.1,95,30,Banana
6.8,93,32,Banana
5.7,94,29,Banana
5.5,93,30,Banana
6.9,92,29,Banana
6.3,95,28,Banana
7,95,30,Banana
6.4,91,31,Banana
6.5,95,34,Banana
6.7,90,34,Banana
6.5,90,31,Banana
6.7,91,30,Banana
6.5,92,33,Banana
6.4,92,28,Banana
5.9,95,34,Banana
7,90,33,Banana
6.9,94,28,Banana
6.4,90,33,Banana
5.8,90,33,Banana
6.2,92,28,Banana
6.2,91,32,Banana
6.3,93,33,Banana
5.6,95,30,Banana
6.8,90,27,Banana
6,93,31,Banana
5.9,90,34,Banana
6.1,92,31,Banana
6.4,95,27,Banana
6.1,94,30,Banana
6.6,93,28,Banana
6.6,94,29,Banana
5.8,94,34,Banana
5.5,93,29,Banana
6.9,92,34,Banana
5.9,91,28,Banana
6.2,93,31,Banana
6.3,92,28,Banana
6.6,94,28,Banana
6.3,94,33,Banana
5.8,93,30,Banana
6.5,91,33,Banana
6.3,91,31,Banana
5.5,92,34,Banana
7,94,30,Banana
7,91,28,Banana
6.4,94,32,Banana
6.5,91,31,Banana
6.3,95,32,Banana
5.7,92,35,Banana
6.3,93,35,Banana
6,91,29,Banana
6.6,94,29,Banana
6.9,91,33,Banana
5.9,94,33,Banana
5.7,94,32,Banana
6.5,91,30,Banana
5.7,92,28,Banana
6.5,90,28,Banana
6.5,93,33,Banana
6.9,92,33,Banana
6.4,91,33,Banana
6.9,94,31,Banana
6.2,94,34,Banana
6.7,95,30,Banana
6.9,93,30,Banana
7,92,34,Banana
5.9,92,28,Banana
7,91,33,Banana
6.5,91,31,Banana
6,95,29,Banana
6.6,94,35,Banana
6,94,29,Banana
6,94,28,Banana
5.9,93,34,Banana
6.9,91,32,Banana
5.8,93,28,Banana
6.4,95,33,Banana
5.5,93,29,Banana
5.7,94,30,Banana
6,90,28,Banana
6.3,90,29,Banana
6.2,95,33,Banana
6.2,90,32,Banana
5.9,93,30,Banana
6.5,94,28,Banana
6.1,92,32,Banana
6.8,94,32,Banana
6.8,93,34,Banana
6.3,91,35,Banana
6.4,95,28,Banana
6.7,95,31,Banana
6,92,28,Banana
6.6,92,29,Banana
6.6,94,35,Banana
6.9,91,28,Banana
5.9,92,29,Banana
5.8,91,34,Banana
6.1,92,32,Banana
6.8,94,31,Banana
6.2,90,27,Banana
5.9,91,33,Banana
6.7,93,30,Banana
6.5,92,33,Banana
5.9,94,33,Banana
6.6,92,27,Banana
5.6,92,33,Banana
6.6,91,31,Banana
6.8,94,28,Banana
5.8,90,29,Banana
6.4,91,28,Banana
6.5,92,31,Banana
6,95,31,Banana
6.3,95,28,Banana
5.5,90,28,Banana
6.2,91,33,Banana
6.4,90,29,Banana
6.1,91,33,Banana
6.8,93,29,Banana
6.4,91,32,Banana
6.9,91,34,Banana
5.9,91,27,Banana
5.5,94,33,Banana
5.7,93,30,Banana
5.5,92,31,Banana
6.7,92,35,Banana
6.5,95,32,Banana
6.4,92,33,Banana
5.9,90,28,Banana
6.6,92,28,Banana
6.2,94,29,Banana
6,95,28,Banana
7,91,35,Banana
6.4,92,34,Banana
5.5,92,35,Banana
6.1,94,27,Banana
5.8,93,35,Banana
5.7,95,34,Banana
6.2,90,27,Banana
5.8,95,31,Banana
6.2,92,31,Banana
6.2,90,34,Banana
6.8,94,29,Banana
6.2,91,29,Banana
5.8,92,33,Banana
6.1,94,33,Banana
6.1,94,29,Banana
5.9,91,30,Banana
5.9,90,28,Banana
5.9,94,33,Banana
6.3,93,28,Banana
6.8,94,29,Banana
6,94,30,Banana
6.8,94,31,Banana
6.4,92,31,Banana
6.5,91,34,Banana
6,92,28,Banana
5.8,91,33,Banana
6.5,95,28,Banana
5.6,93,33,Banana
6.1,95,29,Banana
6.3,94,31,Banana
6.7,91,29,Banana
6.4,92,29,Banana
6.6,91,29,Banana
6.4,95,30,Banana
6.5,94,34,Banana
6.1,93,35,Banana
6.2,95,29,Banana
6,92,29,Banana
6.4,94,30,Banana
5.8,91,35,Banana
6.6,91,30,Banana
7,92,31,Banana
6.3,95,32,Banana
6.3,94,35,Banana
5.9,93,27,Banana
6.6,92,31,Banana
6.8,91,30,Banana
6.5,90,30,Banana
6,95,28,Banana
6.4,93,34,Banana
5.6,92,32,Banana
6.9,91,33,Banana
6.9,91,32,Banana
6.4,94,31,Banana
6.6,93,28,Banana
5.7,94,30,Banana
5.9,94,28,Banana
6.7,90,33,Banana
6.3,92,32,Banana
5.7,92,30,Banana
5.5,91,33,Banana
6.7,91,34,Banana
6.5,92,31,Banana
6.2,93,28,Banana
6.1,91,27,Banana
6.3,93,31,Banana
6.5,95,30,Banana
6.3,93,30,Banana
5.9,93,30,Banana
6.6,93,33,Banana
6.8,94,34,Banana
5.9,93,32,Banana
6.5,91,35,Banana
6.1,94,29,Banana
7,94,33,Banana
5.9,91,34,Banana
6.6,93,31,Banana
6.6,91,28,Banana
6,92,27,Banana
6,93,31,Banana
6.2,93,32,Banana
5.8,93,28,Banana
6.4,92,27,Banana
5.5,94,29,Banana
5.8,94,30,Banana
5.7,94,29,Banana
6.9,91,28,Banana
6.5,93,30,Banana
5.5,91,31,Banana
6.6,94,29,Banana
5.9,94,28,Banana
6.6,90,29,Banana
5.9,91,34,Banana
5.9,91,31,Banana
5.6,91,33,Banana
5.6,91,34,Banana
6.9,95,34,Banana
7,90,31,Banana
6.4,92,27,Banana
6,93,31,Banana
6.1,93,30,Banana
5.8,93,29,Banana
6.9,91,29,Banana
5.7,91,30,Banana
5.7,94,31,Banana
6.3,90,29,Banana
5.6,94,32,Banana
6.8,90,28,Banana
6.4,95,32,Banana
6.1,91,28,Banana
6.1,95,32,Banana
5.5,91,28,Banana
5.6,93,30,Banana
5.7,92,33,Banana
5.5,94,28,Banana
6.2,91,29,Banana
6.8,90,34,Banana
6.9,93,29,Banana
6.5,92,32,Banana
6.4,94,32,Banana
5.8,90,33,Banana
6.6,92,28,Banana
6.7,94,30,Banana
5.8,93,35,Banana
6.7,93,27,Banana
6.6,93,30,Banana
6.8,91,34,Banana
5.6,92,27,Banana
5.6,91,28,Banana
6.2,92,35,Banana
5.9,94,28,Banana
6.8,92,32,Banana
6.1,94,31,Banana
5.7,94,28,Banana
6.4,94,30,Banana
6.4,92,27,Banana
5.9,90,29,Banana
6.2,94,33,Banana
6.8,94,32,Banana
6.4,95,29,Banana
5.6,91,30,Banana
6.6,91,28,Banana
5.7,92,30,Banana
6.2,92,29,Banana
5.7,92,32,Banana
5.5,94,32,Banana
6.7,94,31,Banana
6,93,33,Banana
6.3,92,28,Banana
6.3,92,30,Banana
6.6,93,33,Banana
6.4,93,29,Banana
6.9,94,32,Banana
7,93,33,Banana
5.9,92,29,Banana
6.5,94,34,Banana
5.7,94,32,Banana
5.8,91,32,Banana
6.3,91,33,Banana
6.4,93,28,Banana
6.6,95,27,Banana
5.7,91,28,Banana
6.5,91,30,Banana
5.7,90,34,Banana
6.8,95,29,Banana
5.9,90,28,Banana
5.7,91,30,Banana
5.6,95,30,Banana
5.7,92,29,Banana
5.8,94,32,Banana
6.3,95,29,Banana
5.9,92,32,Banana
6.7,91,28,Banana
7,95,29,Banana
6.7,94,29,Banana
6.1,91,33,Banana
6.4,94,27,Banana
5.7,93,30,Banana
6.3,94,27,Banana
6.2,94,29,Banana
6,92,30,Banana
6.2,91,34,Banana
5.6,92,30,Banana
6.9,95,34,Banana
6.6,90,34,Banana
5.8,95,29,Banana
6.7,92,33,Banana
6.5,92,30,Banana
6.1,94,34,Banana
5.7,94,30,Banana
6.6,95,31,Banana
5.9,93,29,Banana
6.3,91,28,Banana
6.6,90,27,Banana
6.2,95,31,Banana
6.6,93,28,Banana
6.8,95,31,Banana
5.8,91,35,Banana
5.8,91,27,Banana
6,91,28,Banana
6.3,94,33,Banana
7,94,28,Banana
6.6,91,31,Banana
5.5,94,29,Banana
7,93,29,Banana
6.1,93,31,Banana
6.1,95,30,Banana
6.7,93,32,Banana
6.5,93,31,Banana
5.9,90,34,Banana
6.9,92,33,Banana
6.1,91,29,Banana
6.9,91,28,Banana
6.1,94,33,Banana
6.4,91,34,Banana
6.8,94,29,Banana
6.4,92,33,Banana
7,91,31,Banana
6.5,91,31,Banana
6.6,93,32,Banana
5.8,92,29,Banana
6.8,95,32,Banana
5.9,92,33,Banana
6.1,92,33,Banana
5.9,92,33,Banana
6.1,92,28,Banana
6.5,94,29,Banana
5.8,93,33,Banana
5.7,91,28,Banana
6.6,91,27,Banana
6.3,90,30,Banana
5.6,93,28,Banana
6.5,94,29,Banana
6.2,94,33,Banana
6.9,95,30,Banana
6,95,32,Banana
6.5,92,34,Banana
6.4,92,30,Banana
5.7,90,34,Banana
5.7,93,32,Banana
5.8,91,28,Banana
6.4,92,34,Banana
6.8,95,27,Banana
5.9,92,33,Banana
6.9,93,34,Banana
6.7,90,29,Banana
5.6,91,33,Banana
6.5,95,32,Banana
6.8,92,28,Banana
6.8,93,31,Banana
6.9,93,33,Banana
5.8,91,33,Banana
6.9,93,30,Banana
6,90,32,Banana
6.9,91,28,Banana
6.5,92,33,Banana
5.5,95,28,Banana
6.6,91,34,Banana
6,92,33,Banana
6.6,94,29,Banana
6.9,91,30,Banana
5.9,95,31,Banana
6.7,91,33,Banana
6.7,94,30,Banana
6.4,94,29,Banana
6.1,94,34,Banana
5.8,91,32,Banana
5.9,91,32,Banana
5.9,93,30,Banana
6.5,93,29,Banana
5.8,95,33,Banana
6.7,90,30,Banana
5.8,90,32,Banana
6.5,95,34,Banana
6.3,93,31,Banana
6.9,91,28,Banana
5.7,91,27,Banana
6.8,92,29,Banana
6.8,91,34,Banana
5.9,94,33,Banana
6.5,90,34,Banana
6,94,33,Banana
6.2,90,33,Banana
6.9,93,28,Banana
6.2,91,31,Banana
6.1,94,27,Banana
6.9,94,29,Banana
6.1,91,34,Banana
6.8,93,33,Banana
6.9,94,35,Banana
5.9,94,28,Banana
5.6,92,29,Banana
5.5,95,28,Banana
6.5,92,27,Banana
5.7,95,28,Banana
6.3,90,30,Banana
6.3,94,34,Banana
5.9,94,30,Banana
5.6,94,27,Banana
5.1,90,8,Blackberry
6,93,1,Blackberry
5.7,92,2,Blackberry
5.8,91,9,Blackberry
5.3,91,4,Blackberry
5.9,90,10,Blackberry
5.2,91,1,Blackberry
5.7,91,9,Blackberry
5.2,93,9,Blackberry
5.8,90,3,Blackberry
5.6,90,8,Blackberry
6,91,2,Blackberry
5,92,2,Blackberry
5.4,92,4,Blackberry
5.7,90,4,Blackberry
5.6,92,1,Blackberry
6,91,7,Blackberry
5.5,91,1,Blackberry
5.3,93,3,Blackberry
6,91,3,Blackberry
5.2,90,0,Blackberry
5.8,93,9,Blackberry
5.3,91,3,Blackberry
5.8,90,9,Blackberry
5.5,92,2,Blackberry
5.1,91,4,Blackberry
5.6,90,4,Blackberry
5,90,5,Blackberry
5.2,92,2,Blackberry
5.6,90,2,Blackberry
5.6,93,0,Blackberry
5.8,91,6,Blackberry
5.7,93,4,Blackberry
5.4,91,3,Blackberry
5.3,90,1,Blackberry
5.2,91,10,Blackberry
5,90,7,Blackberry
5.7,91,3,Blackberry
5.5,93,8,Blackberry
5.2,92,10,Blackberry
5,91,5,Blackberry
5.9,92,3,Blackberry
5,92,9,Blackberry
6,91,0,Blackberry
5.2,92,1,Blackberry
6,90,5,Blackberry
6,92,7,Blackberry
5.9,92,7,Blackberry
6,91,1,Blackberry
5,92,6,Blackberry
5.5,90,1,Blackberry
5.6,93,2,Blackberry
5.4,91,8,Blackberry
6,91,6,Blackberry
5.2,92,5,Blackberry
5,93,6,Blackberry
5,91,10,Blackberry
5.1,91,3,Blackberry
5.2,91,6,Blackberry
5.2,93,2,Blackberry
5,92,7,Blackberry
5.4,92,6,Blackberry
5.5,92,1,Blackberry
5.5,93,2,Blackberry
5,91,5,Blackberry
5.1,92,3,Blackberry
5.2,91,3,Blackberry
5.4,91,5,Blackberry
5.5,91,0,Blackberry
5.7,91,8,Blackberry
5.7,93,1,Blackberry
5.2,93,8,Blackberry
5.2,92,3,Blackberry
6,92,3,Blackberry
5.7,92,2,Blackberry
5.8,91,5,Blackberry
5.4,90,9,Blackberry
6,92,7,Blackberry
5.6,93,6,Blackberry
5.3,90,6,Blackberry
5.4,91,0,Blackberry
5.9,91,3,Blackberry
5.1,92,3,Blackberry
5,93,5,Blackberry
5.2,93,3,Blackberry
5.6,91,8,Blackberry
5.1,93,2,Blackberry
6,92,8,Blackberry
5.4,90,0,Blackberry
5.6,90,9,Blackberry
5.8,92,1,Blackberry
5.4,93,5,Blackberry
5.7,93,9,Blackberry
5.7,91,6,Blackberry
5,90,3,Blackberry
5.1,91,7,Blackberry
5.3,91,7,Blackberry
6,92,9,Blackberry
6,90,1,Blackberry
5.5,91,2,Blackberry
5.7,92,3,Blackberry
5.1,90,10,Blackberry
5.8,91,8,Blackberry
5.7,92,7,Blackberry
5.2,90,10,Blackberry
5.4,92,7,Blackberry
5,91,1,Blackberry
5.6,92,0,Blackberry
6,92,4,Blackberry
5.2,91,1,Blackberry
5.8,92,1,Blackberry
5.5,93,9,Blackberry
5.6,91,7,Blackberry
5.3,93,1,Blackberry
5.1,91,8,Blackberry
5.8,90,1,Blackberry
5.1,93,8,Blackberry
5.7,91,5,Blackberry
5,91,0,Blackberry
5.5,92,8,Blackberry
5.1,91,0,Blackberry
6,91,5,Blackberry
5.4,92,5,Blackberry
5.8,92,10,Blackberry
5.7,92,1,Blackberry
5,93,5,Blackberry
5.6,91,10,Blackberry
5.9,91,7,Blackberry
5.6,91,2,Blackberry
6,92,4,Blackberry
5,91,5,Blackberry
5.5,93,8,Blackberry
5.2,93,5,Blackberry
6,92,2,Blackberry
5.6,92,9,Blackberry
5.7,91,3,Blackberry
5.6,90,10,Blackberry
5.6,91,8,Blackberry
5.6,91,2,Blackberry
5.9,91,8,Blackberry
5.6,92,4,Blackberry
5.8,91,7,Blackberry
5.1,92,10,Blackberry
5.9,92,2,Blackberry
5.7,92,7,Blackberry
5.6,91,9,Blackberry
5.5,92,7,Blackberry
5,90,4,Blackberry
5.4,91,2,Blackberry
5.7,90,9,Blackberry
6,91,10,Blackberry
6,90,2,Blackberry
5,91,2,Blackberry
5.8,91,9,Blackberry
5.3,91,7,Blackberry
5.7,91,5,Blackberry
