Id,SoilPh,RelativeHumidity,SoilTemperature,Vegetable
128,7,91,22,Cabbage
129,6.5,92,16,Cabbage
130,6.4,92,19,Cabbage
131,6.3,91,19,Cabbage
132,7,91,20,Cabbage
133,7.2,91,20,Cabbage
134,7.2,92,18,Cabbage
135,6.1,95,23,Cabbage
136,7.2,94,13,Cabbage
137,7.3,91,19,Cabbage
138,7.2,93,19,Cabbage
139,7.1,92,20,Cabbage
140,6.6,91,21,Cabbage
141,6.7,94,16,Cabbage
142,7.2,94,17,Cabbage
143,7.2,91,18,Cabbage
144,6.6,93,18,Cabbage
145,6.4,95,22,Cabbage
146,6.7,94,20,Cabbage
147,6.1,92,18,Cabbage
148,6.7,93,21,Cabbage
149,6.3,94,14,Cabbage
150,7.3,90,19,Cabbage
151,6.5,90,18,Cabbage
152,6.6,95,22,Cabbage
153,6.9,94,18,Cabbage
154,6.9,92,22,Cabbage
155,7.2,92,18,Cabbage
156,6.1,92,21,Cabbage
157,6.3,91,21,Cabbage
158,7.3,93,13,Cabbage
159,6.9,94,22,Cabbage
160,6.1,91,19,Cabbage
161,7.4,92,19,Cabbage
162,7.5,90,20,Cabbage
163,6.3,93,19,Cabbage
164,7,91,20,Cabbage
165,7.3,90,23,Cabbage
166,6.8,93,18,Cabbage
167,6,94,19,Cabbage
168,6.8,92,14,Cabbage
169,7.5,91,13,Cabbage
170,7.2,94,20,Cabbage
171,7.4,95,18,Cabbage
172,6.1,91,22,Cabbage
173,7.3,94,19,Cabbage
174,7.2,93,20,Cabbage
175,6.7,93,23,Cabbage
176,7.4,92,19,Cabbage
177,6.8,94,18,Cabbage
178,6.7,90,17,Cabbage
179,6.4,92,21,Cabbage
180,6.7,90,14,Cabbage
181,6.5,95,16,Cabbage
182,7.2,95,13,Cabbage
183,6.6,95,15,Cabbage
184,6.5,94,22,Cabbage
185,6.4,93,18,Cabbage
186,6.2,93,21,Cabbage
187,7,91,13,Cabbage
188,6.7,94,23,Cabbage
189,6,93,17,Cabbage
190,6.4,91,21,Cabbage
191,6.5,92,13,Cabbage
192,6.9,92,15,Cabbage
193,6.7,92,17,Cabbage
194,6.5,93,19,Cabbage
195,6.6,94,13,Cabbage
196,7.2,93,18,Cabbage
197,7.5,94,16,Cabbage
198,7.3,95,19,Cabbage
199,6,91,14,Cabbage
200,6.9,95,14,Cabbage
201,6.2,91,14,Cabbage
202,6.7,95,22,Cabbage
203,6.9,95,17,Cabbage
204,6.9,92,22,Cabbage
205,6.5,92,19,Cabbage
206,6.3,92,20,Cabbage
207,6.9,93,23,Cabbage
208,7.2,93,17,Cabbage
209,6.2,94,21,Cabbage
210,7.2,95,23,Cabbage
211,6.6,90,18,Cabbage
212,7.2,93,15,Cabbage
213,6,93,21,Cabbage
214,7.2,92,18,Cabbage
215,7.1,94,17,Cabbage
216,6.3,95,17,Cabbage
217,6.4,93,20,Cabbage
218,7.1,92,17,Cabbage
219,6.8,92,23,Cabbage
220,6.4,93,16,Cabbage
221,6.2,92,15,Cabbage
222,6.4,93,13,Cabbage
223,6.7,94,20,Cabbage
224,7.3,91,21,Cabbage
225,7.2,95,17,Cabbage
226,6.2,92,17,Cabbage
227,6.7,91,21,Cabbage
228,6.8,94,17,Cabbage
229,7.2,95,23,Cabbage
230,6.5,91,19,Cabbage
231,7.2,93,20,Cabbage
232,6.8,90,20,Cabbage
233,7.2,91,17,Cabbage
234,6.3,93,13,Cabbage
235,7.3,94,21,Cabbage
236,7.2,92,20,Cabbage
237,7.5,90,17,Cabbage
238,6,91,13,Cabbage
239,6.9,94,23,Cabbage
240,6.5,95,18,Cabbage
241,7.1,91,18,Cabbage
242,7,94,16,Cabbage
243,7.2,92,16,Cabbage
244,6.6,93,22,Cabbage
245,6.7,90,19,Cabbage
246,6.7,92,21,Cabbage
247,7.5,92,13,Cabbage
248,6.7,92,22,Cabbage
249,6.4,94,23,Cabbage
250,6.4,92,19,Cabbage
251,6.2,93,19,Cabbage
252,6.2,93,21,Cabbage
253,6.1,90,17,Cabbage
254,6.8,94,18,Cabbage
255,6.4,90,17,Cabbage
256,7,94,15,Cabbage
257,6.5,92,13,Cabbage
258,6.9,93,23,Cabbage
259,6.2,94,19,Cabbage
260,6.6,92,23,Cabbage
261,6.4,92,17,Cabbage
262,7.2,92,15,Cabbage
263,6.2,94,23,Cabbage
264,6.4,95,18,Cabbage
265,6.5,90,20,Cabbage
266,7.2,92,22,Cabbage
267,6.2,93,15,Cabbage
268,6.8,93,20,Cabbage
269,6.2,92,20,Cabbage
270,6.7,93,16,Cabbage
271,6,92,22,Cabbage
272,6.9,93,23,Cabbage
273,7.3,94,19,Cabbage
274,6,92,14,Cabbage
275,7,92,16,Cabbage
276,6.1,95,15,Cabbage
277,7.1,90,15,Cabbage
278,7.5,93,18,Cabbage
279,7,94,23,Cabbage
280,6.3,93,17,Cabbage
281,6.4,90,19,Cabbage
282,6.4,93,19,Cabbage
283,6.8,95,14,Cabbage
284,6.4,94,21,Cabbage
285,7.5,94,21,Cabbage
286,7.4,95,13,Cabbage
287,7.1,92,17,Cabbage
288,7,91,18,Cabbage
289,7,90,20,Cabbage
290,6.3,91,19,Cabbage
291,7.3,92,15,Cabbage
292,7.5,94,22,Cabbage
293,7.1,91,14,Cabbage
294,6.4,90,17,Cabbage
295,7.3,90,15,Cabbage
296,7.3,92,18,Cabbage
297,6.4,92,20,Cabbage
298,7.3,92,15,Cabbage
299,7.2,95,21,Cabbage
300,6.5,94,15,Cabbage
301,7,93,22,Cabbage
302,6.6,91,24,Cabbage
303,6.5,93,21,Cabbage
304,6.5,91,17,Cabbage
305,6.3,95,16,Cabbage
306,7.4,92,20,Cabbage
307,7,91,16,Cabbage
308,6.6,91,21,Cabbage
309,6.4,90,14,Cabbage
310,7.3,93,17,Cabbage
311,7,93,19,Cabbage
312,6.1,92,19,Cabbage
313,6.3,94,18,Cabbage
314,7.1,90,17,Cabbage
315,6.6,94,18,Cabbage
316,7.2,91,18,Cabbage
317,7,91,15,Cabbage
318,7,90,20,Cabbage
319,6.9,92,20,Cabbage
320,7.5,94,15,Cabbage
321,6.4,95,17,Cabbage
322,6.4,90,22,Cabbage
323,7.4,95,14,Cabbage
324,6,91,13,Cabbage
325,7.1,90,19,Cabbage
326,7,92,21,Cabbage
327,7.4,92,18,Cabbage
328,7.3,91,19,Cabbage
329,7.2,95,16,Cabbage
330,7.3,94,17,Cabbage
331,6.5,94,16,Cabbage
332,6.3,94,19,Cabbage
333,6.2,92,16,Cabbage
334,6.8,93,23,Cabbage
335,6.3,90,13,Cabbage
336,7.4,90,23,Cabbage
337,7.1,93,14,Cabbage
338,6.5,91,24,Cabbage
339,6.9,95,19,Cabbage
340,6.9,92,18,Cabbage
341,6.9,91,19,Cabbage
342,6.3,90,18,Cabbage
343,7.4,92,19,Cabbage
344,6.6,94,18,Cabbage
345,6.4,94,19,Cabbage
346,7.2,91,22,Cabbage
347,6.7,90,21,Cabbage
348,7,91,23,Cabbage
349,7.1,91,24,Cabbage
350,6.1,91,24,Cabbage
351,6.9,90,21,Cabbage
352,7.3,92,14,Cabbage
353,6.1,93,20,Cabbage
354,6.4,92,24,Cabbage
355,6.8,91,17,Cabbage
356,7.3,92,17,Cabbage
357,7.5,91,16,Cabbage
358,7.4,95,20,Cabbage
359,6.6,91,21,Cabbage
360,7.5,94,16,Cabbage
361,6.4,92,18,Cabbage
362,7.1,94,22,Cabbage
363,6.4,93,16,Cabbage
364,7,94,19,Cabbage
365,6.7,91,21,Cabbage
366,6.8,91,19,Cabbage
367,7.2,94,21,Cabbage
368,7.1,92,18,Cabbage
369,6.9,94,18,Cabbage
370,7.5,92,13,Cabbage
371,6.1,93,19,Cabbage
372,6.6,92,14,Cabbage
373,7.4,93,24,Cabbage
374,6.1,95,16,Cabbage
375,6.8,93,19,Cabbage
376,6.9,90,20,Cabbage
377,7.5,91,14,Cabbage
378,6.2,91,18,Cabbage
379,6.4,93,22,Cabbage
380,6.8,92,15,Cabbage
381,6.6,94,21,Cabbage
382,7.4,92,22,Cabbage
383,7.4,90,16,Cabbage
384,6.5,92,13,Cabbage
385,6.1,90,15,Cabbage
386,7.4,95,13,Cabbage
387,6.6,94,23,Cabbage
388,7,93,14,Cabbage
389,6.5,93,15,Cabbage
390,7.1,92,21,Cabbage
391,6.7,91,23,Cabbage
392,6.4,92,22,Cabbage
393,7.4,95,22,Cabbage
394,7.5,94,15,Cabbage
395,6.7,95,23,Cabbage
396,6.7,91,22,Cabbage
397,6.7,90,14,Cabbage
398,7.5,95,18,Cabbage
399,7.3,94,17,Cabbage
400,7.1,91,23,Cabbage
401,7.4,94,15,Cabbage
402,6.4,90,21,Cabbage
403,6,91,16,Cabbage
404,6.2,95,14,Cabbage
405,6.7,92,17,Cabbage
406,6.6,93,19,Cabbage
407,6.1,92,21,Cabbage
408,7.4,93,14,Cabbage
409,6.7,93,17,Cabbage
410,7.4,93,23,Cabbage
411,6.1,93,19,Cabbage
412,6.8,93,17,Cabbage
413,7.3,93,15,Cabbage
414,6.8,92,13,Cabbage
415,6.8,91,20,Cabbage
416,6.6,93,23,Cabbage
417,7.3,91,19,Cabbage
418,7.2,94,23,Cabbage
419,6.9,91,16,Cabbage
420,7.4,95,22,Cabbage
421,6.4,92,17,Cabbage
422,6.5,91,23,Cabbage
423,6.4,93,17,Cabbage
424,7.5,93,23,Cabbage
425,7.4,94,21,Cabbage
426,6,91,19,Cabbage
427,6.6,91,21,Cabbage
428,6.9,90,23,Cabbage
429,7.5,95,18,Cabbage
430,6.9,90,18,Cabbage
431,7,92,22,Cabbage
432,6.3,93,17,Cabbage
433,6.7,93,17,Cabbage
434,7.1,94,24,Cabbage
435,7.2,93,20,Cabbage
436,7.5,92,21,Cabbage
437,7.4,94,21,Cabbage
438,6.6,91,13,Cabbage
439,7.4,93,16,Cabbage
440,7.2,93,15,Cabbage
441,7.2,95,14,Cabbage
442,7,95,20,Cabbage
443,6.9,91,20,Cabbage
444,7.2,92,21,Cabbage
445,7.3,93,24,Cabbage
446,7.5,93,16,Cabbage
447,7.2,94,23,Cabbage
448,6.2,92,15,Cabbage
449,7.3,91,15,Cabbage
450,6.2,92,20,Cabbage
451,6.9,94,17,Cabbage
452,6.3,93,19,Cabbage
453,6.8,91,16,Cabbage
454,6.9,90,14,Cabbage
455,6.8,91,23,Cabbage
456,6.1,94,18,Cabbage
457,7,94,20,Cabbage
458,6.7,91,18,Cabbage
459,6.9,91,19,Cabbage
460,6.8,92,19,Cabbage
461,6.2,93,14,Cabbage
462,6.7,93,17,Cabbage
463,6.4,95,15,Cabbage
464,6.4,93,14,Cabbage
465,7.1,92,18,Cabbage
466,6.8,93,19,Cabbage
467,6.4,92,22,Cabbage
468,6.1,94,14,Cabbage
469,6.4,95,18,Cabbage
470,6.2,94,23,Cabbage
471,6.6,95,15,Cabbage
472,6.3,93,19,Cabbage
473,6.1,94,14,Cabbage
474,7.1,93,17,Cabbage
475,6.7,91,19,Cabbage
476,7.3,92,22,Cabbage
477,7,93,23,Cabbage
478,7.3,94,15,Cabbage
479,6.4,94,22,Cabbage
480,6.2,90,21,Cabbage
481,6.7,93,16,Cabbage
482,6.1,92,16,Cabbage
483,7.4,95,22,Cabbage
484,6.6,93,22,Cabbage
485,6.4,93,22,Cabbage
486,6.5,90,19,Cabbage
487,6.9,93,19,Cabbage
488,6.2,95,21,Cabbage
489,6.5,91,18,Cabbage
490,7.3,94,23,Cabbage
491,7.4,91,14,Cabbage
492,7,91,14,Cabbage
493,6.7,93,13,Cabbage
494,6.3,95,14,Cabbage
495,7.1,95,14,Cabbage
496,6.9,93,15,Cabbage
497,6.2,95,21,Cabbage
498,6.4,91,22,Cabbage
499,6.7,94,15,Cabbage
500,6.8,90,20,Cabbage
501,5.9,96,20,Carrot
502,6.2,96,23,Carrot
503,6.4,95,21,Carrot
504,6.8,96,23,Carrot
505,5.7,96,23,Carrot
506,6.6,97,17,Carrot
507,5.8,97,19,Carrot
508,5.9,97,21,Carrot
509,6.5,96,23,Carrot
510,6.9,97,24,Carrot
511,6,97,15,Carrot
512,6.9,96,20,Carrot
513,5.5,96,23,Carrot
514,5.7,96,16,Carrot
515,7,96,18,Carrot
516,7,95,20,Carrot
517,6,96,19,Carrot
518,5.9,98,21,Carrot
519,5.6,98,21,Carrot
520,6.5,97,22,Carrot
521,6.5,97,23,Carrot
522,6.1,96,23,Carrot
523,6.2,96,20,Carrot
524,5.6,97,17,Carrot
525,5.9,95,16,Carrot
526,6.7,97,22,Carrot
527,6.7,98,15,Carrot
528,6.9,97,23,Carrot
529,6.2,98,14,Carrot
530,7,96,23,Carrot
531,6.1,98,23,Carrot
532,6.2,97,15,Carrot
533,5.9,96,15,Carrot
534,5.6,98,20,Carrot
535,5.6,96,16,Carrot
536,6.5,95,23,Carrot
537,6.9,96,24,Carrot
538,6.8,98,23,Carrot
539,6.7,95,13,Carrot
540,6.2,98,14,Carrot
541,6.1,95,16,Carrot
542,5.9,96,17,Carrot
543,6.7,97,15,Carrot
544,5.9,98,16,Carrot
545,7,95,22,Carrot
546,6.2,97,14,Carrot
547,6.4,98,16,Carrot
548,6,95,21,Carrot
549,6.4,95,20,Carrot
550,6.6,97,20,Carrot
551,5.6,97,16,Carrot
552,6.4,97,21,Carrot
553,5.7,95,21,Carrot
554,6.8,97,18,Carrot
555,6.9,95,19,Carrot
556,6.1,96,15,Carrot
557,6.8,96,20,Carrot
558,6.9,96,18,Carrot
559,6.3,98,21,Carrot
560,5.8,97,14,Carrot
561,6.3,95,22,Carrot
562,6.9,97,18,Carrot
563,6.3,97,21,Carrot
564,6.7,96,17,Carrot
565,6.9,98,22,Carrot
566,5.8,96,21,Carrot
567,6.6,98,20,Carrot
568,6.5,97,19,Carrot
569,5.7,97,17,Carrot
570,6.9,96,18,Carrot
571,6.3,97,18,Carrot
572,6.2,96,17,Carrot
573,6.3,97,21,Carrot
574,5.8,97,18,Carrot
575,5.8,97,19,Carrot
576,6.5,96,21,Carrot
577,5.6,96,15,Carrot
578,6.6,97,22,Carrot
579,6.5,96,15,Carrot
580,6.8,97,17,Carrot
581,6.2,97,13,Carrot
582,6.4,95,17,Carrot
583,6.7,98,21,Carrot
584,5.6,98,22,Carrot
585,6.6,97,21,Carrot
586,6.5,96,17,Carrot
587,6.3,98,14,Carrot
588,6.2,96,22,Carrot
589,6.5,97,22,Carrot
590,5.6,97,15,Carrot
591,6.4,96,20,Carrot
592,6.5,97,23,Carrot
593,7,96,19,Carrot
594,5.5,98,14,Carrot
595,6.7,95,23,Carrot
596,6.9,97,15,Carrot
597,5.5,97,20,Carrot
598,5.7,98,24,Carrot
599,7,96,15,Carrot
600,5.5,97,22,Carrot
601,6.6,95,17,Carrot
602,5.8,96,20,Carrot
603,6.4,97,24,Carrot
604,6.6,95,17,Carrot
605,6.2,96,22,Carrot
606,6.9,97,19,Carrot
607,6.4,98,19,Carrot
608,7,98,16,Carrot
609,5.7,97,23,Carrot
610,6.6,97,17,Carrot
611,6.5,97,15,Carrot
612,6.3,96,13,Carrot
613,6.6,96,18,Carrot
614,5.9,95,21,Carrot
615,5.9,97,19,Carrot
616,6.1,96,19,Carrot
617,6.2,97,14,Carrot
618,6.1,95,15,Carrot
619,6.6,96,21,Carrot
620,5.9,97,24,Carrot
621,6.1,97,20,Carrot
622,6.6,97,14,Carrot
623,6.4,96,21,Carrot
624,6.9,96,19,Carrot
625,5.7,96,20,Carrot
626,5.6,95,14,Carrot
627,6.2,97,14,Carrot
628,5.6,98,19,Carrot
629,6,95,17,Carrot
630,6.6,96,24,Carrot
631,5.8,95,19,Carrot
632,6.7,95,23,Carrot
633,6.2,98,22,Carrot
634,6.9,96,19,Carrot
635,6.6,97,18,Carrot
636,5.8,95,16,Carrot
637,6.5,96,22,Carrot
638,6.3,95,16,Carrot
639,5.6,98,22,Carrot
640,5.6,98,20,Carrot
641,6.5,96,16,Carrot
642,6,96,22,Carrot
643,6.2,96,22,Carrot
644,6.1,97,15,Carrot
645,5.9,98,16,Carrot
646,5.6,96,14,Carrot
647,6.2,98,16,Carrot
648,6.1,97,21,Carrot
649,5.8,98,19,Carrot
650,5.5,96,18,Carrot
651,7,98,14,Carrot
652,6.6,97,22,Carrot
653,6.8,98,16,Carrot
654,6.8,96,21,Carrot
655,6.6,96,21,Carrot
656,6,97,23,Carrot
657,5.8,95,19,Carrot
658,5.7,95,24,Carrot
659,6.3,98,20,Carrot
660,5.7,96,17,Carrot
661,6.5,97,16,Carrot
662,5.5,97,17,Carrot
663,6.7,95,22,Carrot
664,6.1,96,20,Carrot
665,6.2,98,19,Carrot
666,5.8,97,14,Carrot
667,5.6,97,20,Carrot
668,5.5,96,14,Carrot
669,5.9,98,16,Carrot
670,6.2,97,16,Carrot
671,6,98,16,Carrot
672,6.7,96,23,Carrot
673,6.7,96,15,Carrot
674,6.2,98,17,Carrot
675,6.6,97,24,Carrot
676,6.6,95,17,Carrot
677,6.5,96,15,Carrot
678,6.7,96,13,Carrot
679,6.4,98,15,Carrot
680,5.6,98,17,Carrot
681,6.8,96,22,Carrot
682,6.8,97,15,Carrot
683,5.6,97,21,Carrot
684,6.2,95,21,Carrot
685,5.8,95,19,Carrot
686,6.3,95,22,Carrot
687,5.9,96,17,Carrot
688,5.9,95,23,Carrot
689,6.1,97,16,Carrot
690,6.2,95,18,Carrot
691,5.8,97,15,Carrot
692,7,97,17,Carrot
693,5.6,97,18,Carrot
694,6.6,95,20,Carrot
695,6.5,97,16,Carrot
696,6.4,96,18,Carrot
697,5.8,95,22,Carrot
698,6.9,95,21,Carrot
699,5.6,96,15,Carrot
700,6.9,97,21,Carrot
701,6.9,98,14,Carrot
702,7,98,18,Carrot
703,6.1,95,18,Carrot
704,6.7,97,20,Carrot
705,6.2,96,20,Carrot
706,6.2,97,23,Carrot
707,6.3,97,22,Carrot
708,6.1,97,22,Carrot
709,6,96,14,Carrot
710,5.6,96,24,Carrot
711,6.5,97,22,Carrot
712,5.7,98,21,Carrot
713,6.6,97,17,Carrot
714,6.7,96,15,Carrot
715,6.4,96,16,Carrot
716,5.7,96,21,Carrot
717,5.7,96,15,Carrot
718,5.6,98,21,Carrot
719,6.9,97,24,Carrot
720,6.1,97,23,Carrot
721,6.4,95,13,Carrot
722,5.8,96,19,Carrot
723,6.7,95,19,Carrot
724,6.3,97,20,Carrot
725,5.7,95,21,Carrot
726,5.7,97,19,Carrot
727,6.6,96,13,Carrot
728,6.3,97,19,Carrot
729,6.6,97,21,Carrot
730,5.9,96,23,Carrot
731,6.9,98,15,Carrot
732,6.6,97,22,Carrot
733,5.6,97,19,Carrot
734,6.2,96,17,Carrot
735,6.7,96,21,Carrot
736,6.6,97,23,Carrot
737,6.2,96,22,Carrot
738,5.6,96,23,Carrot
739,5.7,96,21,Carrot
740,6.7,98,18,Carrot
741,6.4,98,24,Carrot
742,5.7,97,23,Carrot
743,5.6,98,23,Carrot
744,6,97,16,Carrot
745,6.3,97,13,Carrot
746,5.6,97,18,Carrot
747,6.5,96,22,Carrot
748,5.9,98,19,Carrot
749,5.6,96,18,Carrot
750,5.6,96,24,Carrot
751,5.7,96,20,Carrot
752,5.6,98,22,Carrot
753,6.4,97,24,Carrot
754,6.8,95,14,Carrot
755,6,98,17,Carrot
756,6.5,96,22,Carrot
757,5.5,97,15,Carrot
758,6.6,96,17,Carrot
759,6.8,96,19,Carrot
760,5.7,98,19,Carrot
761,5.5,96,18,Carrot
762,6.3,98,14,Carrot
763,7,96,24,Carrot
764,6.2,96,13,Carrot
765,5.7,97,16,Carrot
766,5.6,96,20,Carrot
767,6.3,97,19,Carrot
768,6.8,96,24,Carrot
769,6.4,98,21,Carrot
770,5.7,96,13,Carrot
771,5.6,97,18,Carrot
772,5.7,96,17,Carrot
773,5.7,96,20,Carrot
774,6.6,97,17,Carrot
775,6.3,98,20,Carrot
776,6.1,97,16,Carrot
777,6.2,96,22,Carrot
778,6.8,98,13,Carrot
779,6.3,96,19,Carrot
780,5.6,96,23,Carrot
781,6.7,97,23,Carrot
782,6.1,95,21,Carrot
783,6.6,97,16,Carrot
784,6.3,96,19,Carrot
785,5.6,95,23,Carrot
786,6.4,98,15,Carrot
787,6.5,98,14,Carrot
788,6.1,96,22,Carrot
789,6.5,98,13,Carrot
790,6.9,97,19,Carrot
791,6.8,95,24,Carrot
792,5.6,98,19,Carrot
793,6.9,95,22,Carrot
794,6.1,95,15,Carrot
795,5.6,97,21,Carrot
796,5.9,98,22,Carrot
797,5.9,97,22,Carrot
798,6.5,97,17,Carrot
799,5.6,95,16,Carrot
800,5.8,95,23,Carrot
801,6.3,96,15,Carrot
802,6.7,96,15,Carrot
803,6,96,24,Carrot
804,6.4,97,17,Carrot
805,6.1,97,19,Carrot
806,6.6,97,18,Carrot
807,6.7,96,19,Carrot
808,6.4,96,20,Carrot
809,5.7,97,18,Carrot
810,6.8,98,22,Carrot
811,5.8,97,21,Carrot
812,6.6,96,16,Carrot
813,6,96,18,Carrot
814,6.5,96,23,Carrot
815,5.9,98,18,Carrot
816,6.1,96,22,Carrot
817,6.8,96,14,Carrot
818,5.7,96,13,Carrot
819,6.6,97,14,Carrot
820,6.3,97,20,Carrot
821,6,97,17,Carrot
822,5.6,97,21,Carrot
823,6.4,95,23,Carrot
824,6.9,97,24,Carrot
825,6.5,96,20,Carrot
826,6.7,96,17,Carrot
827,6.3,96,14,Carrot
828,6.1,96,17,Carrot
829,5.8,95,19,Carrot
830,6.1,96,16,Carrot
831,6.8,97,17,Carrot
832,6.7,96,21,Carrot
833,5.9,97,22,Carrot
834,6.9,96,22,Carrot
835,6.4,96,20,Carrot
836,6.2,98,14,Carrot
837,6.8,97,21,Carrot
838,5.6,96,15,Carrot
839,5.5,98,24,Carrot
840,7,96,18,Carrot
841,5.9,95,16,Carrot
842,6.6,95,15,Carrot
843,6.3,97,24,Carrot
844,6.1,97,23,Carrot
845,5.6,97,23,Carrot
846,6.4,98,21,Carrot
847,6.7,97,17,Carrot
848,6.3,95,22,Carrot
849,6.1,96,22,Carrot
850,6.7,96,21,Carrot
851,6.2,95,13,Carrot
852,6,98,21,Carrot
853,6.7,97,18,Carrot
854,6.7,96,22,Carrot
855,6.2,98,13,Carrot
856,5.6,96,17,Carrot
857,6.2,95,16,Carrot
858,6.9,96,22,Carrot
859,6.1,97,18,Carrot
860,5.5,98,16,Carrot
861,7,98,19,Carrot
862,5.9,97,22,Carrot
863,6.2,96,21,Carrot
864,5.8,96,18,Carrot
865,5.9,95,24,Carrot
866,6.7,96,17,Carrot
867,6.6,96,22,Carrot
868,6.8,96,15,Carrot
869,6.5,96,18,Carrot
870,5.8,96,17,Carrot
871,6.4,97,16,Carrot
872,6.3,96,20,Carrot
873,5.7,97,15,Carrot
874,6.3,97,23,Carrot
875,5.8,98,22,Carrot
876,6.7,97,19,Carrot
877,6.5,96,17,Carrot
878,6.7,97,19,Carrot
879,7,96,23,Carrot
880,5.6,95,21,Carrot
881,6,98,20,Carrot
882,5.7,96,16,Carrot
883,6.4,96,21,Carrot
884,6.4,96,23,Carrot
885,5.8,96,16,Carrot
886,5.9,97,23,Carrot
887,6.3,97,22,Carrot
888,5.9,95,16,Carrot
889,5.7,97,23,Carrot
890,6,97,17,Carrot
891,6.8,97,18,Carrot
892,5.9,97,23,Carrot
893,6.3,96,23,Carrot
894,6.3,98,24,Carrot
895,6.3,95,22,Carrot
896,6.8,97,17,Carrot
897,6,96,15,Carrot
898,6.6,95,15,Carrot
899,5.9,96,17,Carrot
900,6.5,96,24,Carrot
901,6.7,96,19,Carrot
902,6.3,96,15,Carrot
903,6.3,95,20,Carrot
904,6.5,96,21,Carrot
905,6.1,97,19,Carrot
906,6.6,96,18,Carrot
