SoilPh,RelativeHumidity,SoilTemperature,Risk
6.3,89,34,No Risk
6.1,51,8,No Risk
7.1,95,22,No Risk
4.3,65,17,No Risk
6.8,71,41,No Risk
7.7,63,44,No Risk
6.7,57,55,No Risk
4.2,82,25,No Risk
6.7,88,61,No Risk
7,67,46,No Risk
7.5,55,27,No Risk
7.8,75,64,No Risk
5,50,7,No Risk
5.1,55,14,No Risk
6.4,63,5,No Risk
4.6,45,7,No Risk
4.1,75,45,No Risk
8,87,49,No Risk
6.7,58,61,No Risk
4.9,93,42,No Risk
4.7,78,50,No Risk
4.5,69,36,No Risk
4.7,45,62,No Risk
6,59,23,No Risk
5.7,98,46,No Risk
6.7,67,39,No Risk
4.6,85,52,No Risk
4.6,47,16,No Risk
4.1,71,43,No Risk
5.1,53,1,No Risk
4.2,55,46,No Risk
4.6,98,4,No Risk
4.4,97,33,No Risk
4.9,73,63,No Risk
6.5,71,22,No Risk
7.8,90,54,No Risk
5.6,64,45,No Risk
7.6,63,57,No Risk
6.1,52,27,No Risk
5.4,93,11,No Risk
4.7,73,15,No Risk
4.6,63,51,No Risk
5.6,99,65,No Risk
6.9,64,25,No Risk
7.6,75,48,No Risk
4.6,73,37,No Risk
6.1,94,33,No Risk
4.4,61,42,No Risk
4,57,2,No Risk
6,41,11,No Risk
7.7,45,31,No Risk
5.7,63,38,No Risk
7.6,59,12,No Risk
7,88,5,No Risk
4.5,70,44,No Risk
7.4,59,9,No Risk
6.3,54,50,No Risk
6.8,48,30,No Risk
7.3,77,28,No Risk
4.2,94,21,No Risk
5.4,70,20,No Risk
6.9,73,12,No Risk
5,99,52,No Risk
5.6,73,61,No Risk
4.5,83,16,No Risk
5.6,64,34,No Risk
5.7,88,19,No Risk
7.7,76,32,No Risk
7.3,43,56,No Risk
7.3,41,2,No Risk
5.4,43,10,No Risk
4.4,54,30,No Risk
6.9,93,42,No Risk
4,40,41,No Risk
5.7,94,39,No Risk
4.5,79,57,No Risk
7.2,70,37,No Risk
6.3,50,6,No Risk
6.3,59,28,No Risk
6.2,47,53,No Risk
5.6,52,58,No Risk
5,76,42,No Risk
8,95,43,No Risk
6.7,92,55,No Risk
6.7,87,9,No Risk
5.1,58,27,No Risk
6.4,95,36,No Risk
4,75,62,No Risk
7.2,59,8,No Risk
5.4,84,3,No Risk
6.5,88,25,No Risk
6.4,76,48,No Risk
4.3,66,47,No Risk
6.2,69,19,No Risk
4.9,53,45,No Risk
7.2,49,50,No Risk
5.4,81,25,No Risk
5.9,57,57,No Risk
6.7,73,35,No Risk
5.4,65,21,No Risk
6.3,76,14,No Risk
4.2,89,26,No Risk
4.7,78,21,No Risk
4.4,50,21,No Risk
5.1,88,18,No Risk
7.2,88,13,No Risk
7.1,41,63,No Risk
5.5,55,18,No Risk
5.9,40,22,No Risk
7.5,49,24,No Risk
7.3,95,44,No Risk
7.1,63,59,No Risk
7.2,58,54,No Risk
4.6,60,4,No Risk
4.3,65,39,No Risk
4.1,75,63,No Risk
6.9,79,28,No Risk
5.9,48,42,No Risk
5.7,90,30,No Risk
7.8,47,58,No Risk
7.1,62,6,No Risk
7.4,97,22,No Risk
4.1,64,8,No Risk
4.7,62,40,No Risk
7,44,30,No Risk
7.1,82,28,No Risk
5.9,57,11,No Risk
7.6,41,59,No Risk
7.7,57,63,No Risk
6.8,64,16,No Risk
7.6,43,60,No Risk
4.3,94,63,No Risk
5.7,91,65,No Risk
4.9,48,15,No Risk
5.4,42,39,No Risk
5,94,32,No Risk
4.9,86,57,No Risk
4.3,41,64,No Risk
7,56,18,No Risk
6.8,76,31,No Risk
8,53,59,No Risk
6.1,85,43,No Risk
7.2,81,44,No Risk
5.2,80,19,No Risk
7.5,44,3,No Risk
5.2,72,25,No Risk
5.4,66,20,No Risk
5.3,66,53,No Risk
7,51,2,No Risk
5,43,11,No Risk
4.3,44,14,No Risk
7,67,38,No Risk
6.8,74,35,No Risk
5,99,24,No Risk
7,74,26,No Risk
5.2,96,0,No Risk
7.7,82,46,No Risk
7.4,64,41,No Risk
5.3,44,2,No Risk
4.9,93,11,No Risk
6.4,56,45,No Risk
5.7,72,19,No Risk
5.3,96,10,No Risk
5,60,3,No Risk
5.6,62,22,No Risk
4.6,82,37,No Risk
5.2,73,41,No Risk
5.1,83,8,No Risk
4.5,75,22,No Risk
5.3,62,24,No Risk
5.9,80,37,No Risk
4.2,44,11,No Risk
4.9,77,52,No Risk
7.1,74,45,No Risk
5.1,47,43,No Risk
6.5,54,13,No Risk
7.8,64,44,No Risk
5.4,65,31,No Risk
4,59,59,No Risk
7.8,49,30,No Risk
6.1,98,6,No Risk
6.1,74,8,No Risk
4.5,82,25,No Risk
7.8,72,46,No Risk
7.6,76,35,No Risk
4.4,74,24,No Risk
7.1,64,50,No Risk
5.4,79,26,No Risk
7.4,87,21,No Risk
4.4,60,20,No Risk
5.7,73,21,No Risk
5.9,42,38,No Risk
5.9,49,3,No Risk
7.4,94,15,No Risk
8,47,23,No Risk
6.3,88,42,No Risk
8,60,9,No Risk
6.4,57,9,No Risk
6.4,83,61,No Risk
5.4,53,18,No Risk
5.4,77,21,No Risk
4.8,48,35,No Risk
5.5,65,65,No Risk
6.2,69,14,No Risk
4.6,42,10,No Risk
8,41,41,No Risk
4.1,74,31,No Risk
7.8,69,23,No Risk
4.5,62,18,No Risk
4.4,96,40,No Risk
4.3,74,12,No Risk
7,55,18,No Risk
6.5,59,48,No Risk
6.7,81,26,No Risk
7.9,56,46,No Risk
6.8,46,9,No Risk
4.4,49,15,No Risk
5.8,80,51,No Risk
7.7,98,47,No Risk
6.8,74,40,No Risk
7,95,56,No Risk
4.1,78,50,No Risk
6.8,76,24,No Risk
4.1,83,34,No Risk
5.5,56,45,No Risk
7.5,68,62,No Risk
5.6,85,63,No Risk
4,80,20,No Risk
4.5,54,13,No Risk
5.8,94,36,No Risk
6.1,59,11,No Risk
7,89,64,No Risk
5.2,63,13,No Risk
4.8,94,40,No Risk
4.4,80,9,No Risk
5.8,67,8,No Risk
7.9,47,29,No Risk
4.2,44,19,No Risk
5.4,55,25,No Risk
4.5,78,64,No Risk
4.6,78,54,No Risk
4.8,88,50,No Risk
6.5,43,21,No Risk
6.7,64,1,No Risk
4,88,9,No Risk
5,70,62,No Risk
5.9,83,43,No Risk
4.5,52,28,No Risk
5.8,45,26,No Risk
6.7,77,59,No Risk
5.6,90,57,No Risk
4.4,46,32,No Risk
6.8,88,42,No Risk
5.5,49,6,No Risk
5.6,89,23,No Risk
4,61,14,No Risk
7.9,73,3,No Risk
7.4,67,17,No Risk
7.6,86,60,No Risk
6.7,77,3,No Risk
5.5,73,11,No Risk
4.6,82,5,No Risk
7.6,51,42,No Risk
5.3,53,0,No Risk
5.3,57,48,No Risk
5.4,73,50,No Risk
6.4,60,0,No Risk
5.7,80,56,No Risk
7.2,80,47,No Risk
5.2,93,0,No Risk
5.5,69,30,No Risk
5.3,55,7,No Risk
5,90,50,No Risk
4.9,45,6,No Risk
5.7,53,43,No Risk
5.9,85,41,No Risk
6.1,92,52,No Risk
6.8,45,41,No Risk
5.8,91,27,No Risk
5.7,62,55,No Risk
6.5,95,23,No Risk
4.1,89,10,No Risk
7,68,63,No Risk
7.3,49,62,No Risk
4.5,69,14,No Risk
6.3,77,61,No Risk
4.7,97,20,No Risk
6.4,47,36,No Risk
6.1,44,36,No Risk
7.7,74,7,No Risk
6.1,65,46,No Risk
5.1,49,54,No Risk
7.7,82,27,No Risk
6.1,64,11,No Risk
6.5,89,5,No Risk
6.4,47,43,No Risk
6.5,42,37,No Risk
6.9,95,3,No Risk
4.7,81,55,No Risk
7.1,56,40,No Risk
4.7,91,29,No Risk
7,84,54,No Risk
4.1,84,14,No Risk
4,78,20,No Risk
6.1,86,12,No Risk
5.5,92,53,No Risk
7.2,83,9,No Risk
5.4,41,50,No Risk
7.1,91,20,No Risk
4.5,84,65,No Risk
4.6,78,47,No Risk
6.4,53,27,No Risk
6.9,41,54,No Risk
6.5,95,22,No Risk
7.7,60,25,No Risk
7.6,52,46,No Risk
5.2,82,35,No Risk
6.2,67,1,No Risk
6.5,80,47,No Risk
4.1,75,9,No Risk
4.9,99,12,No Risk
5.6,41,64,No Risk
4.1,50,34,No Risk
6,77,62,No Risk
6.6,59,58,No Risk
4.4,90,53,No Risk
6.9,61,48,No Risk
7.8,84,53,No Risk
7.6,62,55,No Risk
7.7,44,28,No Risk
6.6,92,58,No Risk
6.8,51,16,No Risk
6.9,49,32,No Risk
7.8,82,63,No Risk
7,86,63,No Risk
4.4,86,56,No Risk
7.2,53,9,No Risk
6,83,29,No Risk
8,41,14,No Risk
6.8,86,60,No Risk
7,49,31,No Risk
7.8,84,10,No Risk
6.9,44,8,No Risk
5.1,89,57,No Risk
5.2,91,5,No Risk
7.5,51,33,No Risk
5.3,64,51,No Risk
5,49,31,No Risk
4.1,54,3,No Risk
4.6,67,13,No Risk
4.4,74,38,No Risk
6.4,45,55,No Risk
7,71,41,No Risk
7.4,47,17,No Risk
5.5,87,42,No Risk
4.8,66,39,No Risk
4.6,99,14,No Risk
4.9,65,53,No Risk
4.2,92,44,No Risk
4.4,57,29,No Risk
6.7,99,24,No Risk
7.8,74,0,No Risk
5.7,51,42,No Risk
7,44,25,No Risk
5.6,83,11,No Risk
6.6,50,21,No Risk
7.1,41,2,No Risk
7.6,43,14,No Risk
5.4,60,42,No Risk
6.4,89,4,No Risk
4.2,73,42,No Risk
4.8,90,42,No Risk
5.9,52,26,No Risk
6.9,64,47,No Risk
4.2,84,17,No Risk
5.3,48,48,No Risk
7.4,44,61,No Risk
5.4,70,1,No Risk
7.5,51,3,No Risk
7,74,21,No Risk
7,72,56,No Risk
7.8,85,52,No Risk
7.5,47,36,No Risk
7.1,73,19,No Risk
5.1,95,39,No Risk
6.6,53,12,No Risk
5.2,66,62,No Risk
7.8,52,23,No Risk
5.8,78,59,No Risk
7.1,56,50,No Risk
4.3,98,26,No Risk
5.7,49,16,No Risk
4.1,80,38,No Risk
5.1,99,4,No Risk
4.3,53,14,No Risk
6.9,87,44,No Risk
6.8,77,28,No Risk
4.6,49,42,No Risk
7.7,92,30,No Risk
6.6,73,36,No Risk
5.6,82,38,No Risk
4.5,52,28,No Risk
6.7,42,24,No Risk
5.7,78,25,No Risk
6.9,48,12,No Risk
6.1,62,41,No Risk
7.7,62,53,No Risk
6.4,79,4,No Risk
4.2,91,3,No Risk
4.7,71,52,No Risk
5,61,4,No Risk
4,66,7,No Risk
4.1,96,62,No Risk
6.3,49,50,No Risk
6.1,67,23,No Risk
6.7,78,57,No Risk
7,80,7,No Risk
6.7,50,39,No Risk
5.7,41,25,No Risk
5.7,63,6,No Risk
5,70,26,No Risk
7.8,73,56,No Risk
7.6,61,13,No Risk
6.6,80,32,No Risk
6.7,91,47,No Risk
5.4,42,45,No Risk
6.3,84,45,No Risk
7.2,94,62,No Risk
4.3,46,19,No Risk
7.1,65,32,No Risk
5.3,42,33,No Risk
7.8,47,20,No Risk
4,70,56,No Risk
4.3,91,11,No Risk
7.8,96,58,No Risk
6.3,93,42,No Risk
6.9,76,17,No Risk
4.4,80,63,No Risk
5,48,8,No Risk
4.9,54,0,No Risk
7,86,20,No Risk
5.9,86,20,No Risk
5.4,59,44,No Risk
4.9,61,5,No Risk
4.7,82,51,No Risk
7.6,87,3,No Risk
5.4,95,50,No Risk
6.8,98,28,No Risk
8,77,2,No Risk
5.6,95,4,No Risk
5.1,59,25,No Risk
4.2,88,54,No Risk
7.8,81,10,No Risk
5.3,68,41,No Risk
7.2,42,52,No Risk
6.8,59,30,No Risk
4.9,59,27,No Risk
4,96,54,No Risk
7.6,79,48,No Risk
5.1,57,24,No Risk
4.3,72,41,No Risk
6.6,84,6,No Risk
5.7,58,6,No Risk
5,74,50,No Risk
5.8,80,28,No Risk
6.1,69,39,No Risk
4.1,53,1,No Risk
5.4,98,54,No Risk
5.1,92,32,No Risk
6.3,62,57,No Risk
7.4,88,23,No Risk
6.6,45,17,No Risk
7.3,97,54,No Risk
4.1,80,39,No Risk
5.9,87,27,No Risk
4.2,44,45,No Risk
6.5,61,58,No Risk
6.3,88,32,No Risk
4.2,44,40,No Risk
4.7,53,21,No Risk
7.3,54,40,No Risk
5,74,45,No Risk
6.4,56,8,No Risk
4.5,61,26,No Risk
5.6,85,41,No Risk
7.6,76,44,No Risk
4.5,91,45,No Risk
7.6,45,20,No Risk
7.3,50,37,No Risk
5.3,48,50,No Risk
6,50,14,No Risk
7.3,89,19,No Risk
6.8,46,34,No Risk
4.7,44,59,No Risk
6.1,45,23,No Risk
7.7,53,11,No Risk
5.8,47,43,No Risk
6.1,74,57,No Risk
4.9,91,56,No Risk
6.8,48,11,No Risk
4.8,50,12,No Risk
6.6,55,59,No Risk
5.4,59,11,No Risk
4.5,90,0,No Risk
8,98,62,No Risk
4.3,43,50,No Risk
6.4,92,58,No Risk
4.2,45,13,No Risk
7.3,69,1,No Risk
6.3,97,61,No Risk
4.5,64,25,No Risk
5.2,65,52,No Risk
7,73,50,No Risk
4.9,51,37,No Risk
7.4,94,39,No Risk
7,77,56,No Risk
7.8,71,35,No Risk
7.1,78,5,No Risk
6.5,87,63,No Risk
6.8,62,2,No Risk
6.8,43,61,No Risk
7.1,88,51,No Risk
6.7,43,26,No Risk
5.9,73,65,No Risk
4.2,96,55,No Risk
4.5,74,51,No Risk
7.8,98,33,No Risk
5,52,25,No Risk
5,61,14,No Risk
7.2,49,10,No Risk
5.5,87,12,No Risk
6.2,47,11,No Risk
4.2,48,33,No Risk
4.2,52,17,No Risk
5.6,61,56,No Risk
6.6,98,1,No Risk
5.8,87,34,No Risk
7.1,44,1,No Risk
5.6,93,16,No Risk
6.2,78,8,No Risk
6.5,79,45,No Risk
4.9,83,59,No Risk
6,88,62,No Risk
5.6,76,13,No Risk
7.6,82,10,No Risk
6.8,69,55,No Risk
5.5,50,37,No Risk
4.4,74,45,No Risk
5.8,51,35,No Risk
6.6,50,31,No Risk
6.5,83,65,No Risk
7.4,74,56,No Risk
6.1,54,60,No Risk
7.5,51,37,No Risk
7,99,41,No Risk
6.9,81,33,No Risk
4.3,94,59,No Risk
7.1,70,13,No Risk
5.4,41,63,No Risk
5.5,71,44,No Risk
4.1,93,34,No Risk
4.6,94,33,No Risk
5.6,71,24,No Risk
6.3,94,24,No Risk
7.7,77,62,No Risk
6.1,63,21,No Risk
6.4,73,32,No Risk
6.8,85,3,No Risk
6.7,89,8,No Risk
7.6,67,52,No Risk
5.3,99,17,No Risk
6.5,81,59,No Risk
7.5,64,43,No Risk
5.4,90,51,No Risk
6.1,50,21,No Risk
7.7,84,41,No Risk
4.5,76,19,No Risk
4.7,54,36,No Risk
4.4,80,27,No Risk
4.9,78,11,No Risk
7.7,62,40,No Risk
6.3,45,4,No Risk
6.9,54,37,No Risk
5.2,80,30,No Risk
5.6,67,24,No Risk
4.6,97,43,No Risk
7.6,71,52,No Risk
5.8,83,27,No Risk
6.6,97,1,No Risk
4.1,63,39,No Risk
4.3,75,16,No Risk
5.5,60,64,No Risk
6.3,49,9,No Risk
5.2,72,9,No Risk
7.5,43,21,No Risk
6.8,42,42,No Risk
4.8,61,46,No Risk
4.6,54,63,No Risk
5.7,58,7,No Risk
4.7,43,30,No Risk
7.5,86,37,No Risk
6.1,63,8,No Risk
6.4,48,45,No Risk
4.5,86,11,No Risk
5,71,13,No Risk
7.3,86,33,No Risk
4.5,87,4,No Risk
6.4,99,52,No Risk
5.7,45,50,No Risk
4,61,17,No Risk
5.7,46,3,No Risk
5,48,9,No Risk
5.1,78,64,No Risk
6.1,72,20,No Risk
6.1,60,56,No Risk
5.2,70,42,No Risk
4.3,91,34,No Risk
5,84,27,No Risk
7.2,84,10,No Risk
6.9,67,38,No Risk
4.7,83,2,No Risk
4.6,47,62,No Risk
5.5,89,55,No Risk
7.8,86,42,No Risk
6.8,74,38,No Risk
5.1,66,2,No Risk
7.8,98,7,No Risk
4.7,48,5,No Risk
6.1,94,5,No Risk
6.7,80,42,No Risk
7.2,54,57,No Risk
7.9,63,16,No Risk
4.7,58,36,No Risk
6,99,29,No Risk
7.7,42,1,No Risk
7.1,76,49,No Risk
6.8,54,51,No Risk
4.5,93,18,No Risk
6.3,63,39,No Risk
5.8,51,26,No Risk
4.2,72,15,No Risk
4.9,85,56,No Risk
4.4,97,64,No Risk
7.2,43,9,No Risk
5.1,70,24,No Risk
4.6,53,58,No Risk
4.8,85,57,No Risk
6.3,66,10,No Risk
5.3,76,31,No Risk
5.6,81,53,No Risk
7.5,92,40,No Risk
7,75,23,No Risk
7.3,43,18,No Risk
4.2,48,64,No Risk
7.6,69,63,No Risk
7.5,68,42,No Risk
4.3,96,11,No Risk
4.4,81,47,No Risk
7.6,41,12,No Risk
4.3,83,40,No Risk
5.8,51,1,No Risk
6.1,57,12,No Risk
5.4,70,42,No Risk
6.9,40,1,No Risk
5.2,90,38,No Risk
5.3,90,34,No Risk
4.4,84,27,No Risk
7,64,18,No Risk
6.4,84,23,No Risk
4.4,99,11,No Risk
4.4,84,48,No Risk
7.7,72,43,No Risk
5,56,31,No Risk
4.6,96,62,No Risk
5.9,53,35,No Risk
6.9,74,30,No Risk
7.2,41,36,No Risk
5.7,93,59,No Risk
4.5,82,51,No Risk
4.3,56,26,No Risk
4.6,93,52,No Risk
6.2,66,2,No Risk
5.2,95,62,No Risk
4.4,84,59,No Risk
5.7,98,18,No Risk
6.8,86,14,No Risk
6.7,83,60,No Risk
5.5,41,31,No Risk
7,47,57,No Risk
6.4,99,50,No Risk
6.7,76,50,No Risk
4.8,43,8,No Risk
4.9,91,24,No Risk
7.7,83,63,No Risk
5.3,75,52,No Risk
7.5,51,22,No Risk
4.7,93,11,No Risk
5.6,71,56,No Risk
7,43,48,No Risk
4.8,67,23,No Risk
7.2,66,2,No Risk
6.7,58,39,No Risk
7.3,86,55,No Risk
4.9,40,45,No Risk
7.6,95,27,No Risk
4.1,94,35,No Risk
6.6,59,64,No Risk
4.5,52,64,No Risk
5.4,55,49,No Risk
5.2,63,54,No Risk
7.8,56,18,No Risk
6.6,45,30,No Risk
4.9,64,28,No Risk
4.2,88,6,No Risk
4.4,82,43,No Risk
7.5,42,36,No Risk
4.9,76,47,No Risk
7.8,92,54,No Risk
5.9,69,13,No Risk
7.9,50,27,No Risk
7.7,62,5,No Risk
7.9,67,22,No Risk
4.8,74,46,No Risk
7.7,85,5,No Risk
6.8,66,60,No Risk
4.5,45,23,No Risk
7.7,51,57,No Risk
7.6,43,51,No Risk
6.5,87,44,No Risk
5.4,67,15,No Risk
7.2,44,53,No Risk
6.7,44,34,No Risk
7.5,86,51,No Risk
5.2,59,55,No Risk
4.2,96,59,No Risk
6.2,64,57,No Risk
6.1,74,36,No Risk
7.7,84,53,No Risk
7.5,72,53,No Risk
7.4,75,27,No Risk
5.5,60,20,No Risk
7.7,68,21,No Risk
7.8,45,16,No Risk
7.7,66,49,No Risk
8,86,18,No Risk
4.5,53,22,No Risk
4.8,86,46,No Risk
7.4,71,1,No Risk
7.9,70,54,No Risk
6.4,92,56,No Risk
6.7,68,16,No Risk
6.1,90,55,No Risk
6.3,84,31,No Risk
6,58,45,No Risk
7.7,65,48,No Risk
7.8,84,26,No Risk
5,64,13,No Risk
5.8,59,22,No Risk
7.6,90,42,No Risk
7.2,73,45,No Risk
4.4,67,55,No Risk
5.8,85,33,No Risk
5,77,42,No Risk
7.2,58,23,No Risk
4.4,56,64,No Risk
4.2,98,3,No Risk
5,95,60,No Risk
7.9,64,63,No Risk
5.1,73,18,No Risk
7.3,54,24,No Risk
7.1,76,19,No Risk
5.3,53,18,No Risk
4.8,89,29,No Risk
5.8,72,55,No Risk
7.6,40,65,No Risk
4,54,2,No Risk
4.1,67,55,No Risk
5.1,73,15,No Risk
7.1,79,54,No Risk
7.5,48,8,No Risk
4.7,61,5,No Risk
4.1,78,44,No Risk
4.8,79,24,No Risk
6.1,40,30,No Risk
4.1,98,0,No Risk
5.4,47,61,No Risk
5.1,61,8,No Risk
7.5,88,64,No Risk
4.9,49,7,No Risk
4.7,41,44,No Risk
6.4,46,10,No Risk
6.5,55,38,No Risk
5.9,49,5,No Risk
7.1,76,46,No Risk
7.7,64,14,No Risk
5.9,57,9,No Risk
6.2,57,49,No Risk
5.2,82,23,No Risk
5.9,80,52,No Risk
7.2,42,46,No Risk
7.5,95,6,No Risk
6.7,41,30,No Risk
7.6,46,7,No Risk
7.2,70,8,No Risk
4.8,84,49,No Risk
5.8,64,1,No Risk
4.9,71,41,No Risk
5.5,74,26,No Risk
5.5,97,48,No Risk
5.6,91,11,No Risk
6.1,59,60,No Risk
4.1,43,39,No Risk
6.2,59,45,No Risk
4.6,80,4,No Risk
7.5,57,0,No Risk
7.1,50,33,No Risk
5.3,99,10,No Risk
5.6,61,36,No Risk
6.7,73,24,No Risk
5.6,72,42,No Risk
4.1,89,61,No Risk
6.9,46,48,No Risk
8,96,30,No Risk
7.4,96,7,No Risk
7.7,95,49,No Risk
6.1,85,8,No Risk
7.7,41,56,No Risk
6.7,98,18,No Risk
6.6,83,29,No Risk
4.8,48,38,No Risk
4.7,76,38,No Risk
6.1,78,57,No Risk
6.3,82,2,No Risk
8,86,21,No Risk
5.2,87,56,No Risk
5.8,76,4,No Risk
6,82,24,No Risk
5.6,51,49,No Risk
5.7,81,32,No Risk
7.3,66,50,No Risk
8,75,39,No Risk
6.6,52,27,No Risk
7.1,54,2,No Risk
6.6,77,48,No Risk
5.9,88,19,No Risk
6.6,49,50,No Risk
5.2,57,61,No Risk
7.7,79,32,No Risk
7,66,31,No Risk
7.9,78,34,No Risk
7.6,58,14,No Risk
